关系抽取_RE_Spatial_Emotion,情感表达_Emotion_Valence,情感表达_Emotion_Discrete,情感表达_Emotion_Intensity,情感表达_Emotion_Shift,空间环境特征_Place_Name
[长江全景] -> [敬畏/惊叹]; [夕阳江景] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹; 兴趣/好奇; 自豪/归属感,强/高,否,上元门站; 南堡公园
[日落归山海] -> [敬畏/惊叹]; [夜色人间] -> [放松/平静],Positive,放松/平静; 愉悦/开心; 敬畏/惊叹,中/一般,否,下关发电厂
[开阔江景] -> [开阔视野感受],Positive,放松/平静; 敬畏/惊叹,中/一般,否,南京长江大桥; 南桥头堡; 大桥南堡公园; 网红玻璃栈道; 金陵小区
[城市记忆具象化] -> [怀旧/温馨],Positive,怀旧/温馨; 舒适/安全,中/一般,否,南堡玻璃栈道; 宝塔桥; 南京长江大桥; 金水河; 中山码头; 浦口火车站; 扬子江生态公园
,Negative,挫败/烦恼; 警惕,中/一般,否,中山码头
[变色玻璃栈道] -> [治愈感]; [海边的风] -> [舒适],Positive,愉悦/开心; 放松/平静,强/高,是（失望->愉悦）,中山码头
[水波拍打石头的声音] -> [舒适/安全]; [火车经过大桥的声音] -> [放松/平静],Positive,放松/平静; 愉悦/开心; 舒适/安全,中/一般,否,长江大桥; 大桥南堡公园
[浪漫的日落] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,大马路
[朱自清《背影》主题雕塑] -> [文化共鸣]; [灯光夜景] -> [愉悦],Positive,愉悦/开心; 放松/平静,强/高,否,南堡公园; 玻璃栈道; 长江大桥; 宝塔桥
,Neutral,,弱/低,否,长江大桥玻璃栈道; 下关滨江商务区综合执法站
[日落景观] -> [愉悦/开心; 敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,下关火车主题公园
,,,,,长江边
[静谧晚风] -> [放松/平静],Positive,放松/平静; 羡慕; 愉悦/开心,中/一般,否,南京浦口火车站旧址; 南京浦口火车站历史文化街区
[窗外江景] -> [愉悦/开心]; [灯光] -> [舒适/安全],Positive,舒适/安全; 愉悦/开心,中/一般,否,建宁西路; 建宁路; 郑和中路; 惠民大道; 中山北路; 江边路; 公共路; 商埠街; 哈尔滨村; 下关长途汽车站; 下关大厦; 南京二十一中; 下关大街; 恒大滨江; 龙湖春江紫宸; 南京港口大厦; 天妃宫小学; 静海寺地铁站
[英伦风格桥体] -> [兴趣/好奇],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,中山码头
,,,,,
,Positive,愉悦/开心,弱/低,否,大桥公园; 映红桥
[蓝调时刻] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,江边路; 7-11江边路店
[完美晚霞] -> [愉悦/开心; 敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,浦云路大桥
[民国风建筑] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹; 怀旧/温馨,中/一般,否,
[江风] -> [放松/平静]; [蓝鲸雕塑] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,强/高,否,
[滨江景观] -> [愉悦/开心],Positive,怀旧/温馨; 兴趣/好奇; 愉悦/开心,中/一般,否,南京长江大桥玻璃栈道; 下关火车主题公园; 中山码头
[雪景] -> [特别美],Positive,愉悦/开心; 兴趣/好奇,强/高,否,
[民国风格建筑] -> [兴趣/好奇],Positive,怀旧/温馨; 兴趣/好奇,中/一般,否,浦口火车站; 中山码头
[五彩缤纷灯光] -> [愉悦/开心],Positive,愉悦/开心; 自豪/归属感,强/高,否,中山码头; 浦口码头; 浦口区新马路菜场; 浦口公园; 扬子江生态公园
[复古风] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,中山码头; 首都电厂旧址; 扬子饭店旧址; 惠民河; 中山桥; 渡江胜利纪念碑; 热河路; 京市铁路遗址; 大马路; 南京西站; 铁路轮渡栈桥旧址
[长江大桥] -> [自豪/归属感],Positive,自豪/归属感,强/高,否,夕Space落日餐厅
[阳光] -> [舒适],Neutral,平静,弱/低,否,南京西站
[江上日落] -> [愉悦/开心]; [江风] -> [舒适/安全],Positive,愉悦/开心; 放松/平静; 怀旧/温馨,中/一般,否,长江大桥玻璃栈道
[江风轻轻拂过] -> [超惬意]; [小火车] -> [不亦乐乎],Positive,愉悦/开心; 放松/平静; 怀旧/温馨,强/高,否,中山码头; 浦口码头
,Neutral,,弱/低,否,长江大桥
[日落] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,下关电厂遗址公园; 中山码头
[悬日与大桥同框] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇; 敬畏/惊叹,中/一般,否,颐和路; 中山码头; 浦口火车站; 长江大桥; 大马路; 民国首都电厂旧址公园; 民国海军医院旧址; 下关火车主题公园
,Neutral,,弱/低,否,下关火车主题公园
[落日] -> [治愈/温馨]; [浪] -> [放松/平静],Positive,放松/平静; 愉悦/开心; 自豪/归属感,中/一般,是（担忧->平静）,浦口火车站; 南京北站
[滔滔江水] -> [敬畏/惊叹],Positive,敬畏/惊叹; 怀旧/温馨,中/一般,否,长江
,Neutral,,中/一般,否,长江五桥; 江心洲大桥; 南京之眼
,,,,,民国海军医院旧址
[大风] -> [挫败/烦恼],Negative,挫败/烦恼; 遗憾,中/一般,否,夕Space落日餐厅
[长时间等待] -> [疲惫],Negative,挫败/烦恼; 疲惫; 厌恶,强/高,是（期待->挫败->厌恶）,下关
[开阔江景] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,中山码头
[南京外滩愿景] -> [期待]; [工程延迟] -> [失望],Mixed,失望; 期待,中/一般,是（失望->期待）,
[大桥建设过程] -> [敬佩/惊叹],Positive,自豪/归属感; 敬佩; 成就/满足,强/高,否,中山码头; 幕府山
[粉色日落] -> [敬畏/惊叹],Positive,愉悦/开心; 放松/平静; 兴趣/好奇; 敬畏/惊叹,强/高,否,长江大桥; 长江大桥南堡公园
无法判断,Mixed,懊悔; 感慨,中/一般,是（自大->懊悔->理解）,下关滨江
[橘子海] -> [愉悦/开心]; [江风] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,下关滨江; 建宁西路过江通道; 惠民大道; 南京西站; 地铁5号线; 静海寺站
[绿意与人文景观] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,南京长江大桥
[长江] -> [敬畏/惊叹],Positive,怀旧/温馨; 敬畏/惊叹,中/一般,否,阅江楼; 下关墙; 江豚观赏地; 中山码头
[民国风格建筑] -> [惊喜]; [历史遗迹] -> [怀旧],Positive,愉悦/开心; 兴趣/好奇; 怀旧/温馨,强/高,是（无兴趣->惊喜）,无法判断
[南京长江大桥] -> [],Neutral,,中/一般,否,中山码头; 浦口码头; 民国首都电厂旧址公园; 江豚观赏地; 铁路轮渡栈桥旧址; 下关火车公园; 长江大桥玻璃栈道
,Positive,兴趣/好奇; 舒适/安全,中/一般,否,下关火车主题公园
[老虎灶茶甘米香] -> [温馨/怀旧],Mixed,怀旧/温馨; 悲伤/失望; 期待/兴趣,中/一般,是（悲伤->期待）,浦口火车站; 浦口码头; 长江
[日落景观] -> [愉悦/开心],Positive,愉悦/开心; 浪漫/温馨,强/高,否,南京下关火车主题公园; 南京长江大桥; 民国南京下关火车站; 浦口火车站; 南京西站
[充气城堡] -> [大人放松],Positive,兴趣/好奇; 愉悦/开心,中/一般,否,南京长江大桥
[日落景观] -> [愉悦/开心],Positive,愉悦/开心; 浪漫/爱意,强/高,否,下关主题公园
[夕阳景色] -> [愉悦/开心]; [江风吹拂] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,中/一般,否,下关; 大马路; 铁路埂; 惠民桥; 阅江楼; 龙江关漫埠; 金陵外滩
[长江大桥景观] -> [惊叹/敬畏],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,长江大桥玻璃栈道
[日落] -> [愉悦/开心]; [江风] -> [舒适/安全],Positive,愉悦/开心; 舒适/安全,中/一般,否,中国人民解放军101军舰博物馆; 狮子山公园; 下关火车主题公园
[西洋式建筑] -> [兴趣/好奇],Neutral,怀旧; 兴趣/好奇,中/一般,否,中山码头; 浦口码头
[夕阳] -> [治愈/敬畏]; [江风] -> [舒适/安全],Positive,愉悦/开心; 放松/平静; 兴趣/好奇; 舒适/安全; 自豪/归属感,强/高,否,大桥南堡公园; 玻璃栈道; 下关火车主题公园; 长江大桥
[夕阳] -> [愉悦/开心]; [蓝调时刻] -> [惊叹/敬畏],Positive,愉悦/开心; 放松/平静; 惊叹/敬畏,强/高,否,中山码头; 浦口码头; 南京北站; 扬子江生态公园兔布洛亲子乐园; 民国首都电厂遗址公园; 江豚书屋; 南京下关历史陈列馆; 下关火车主题公园; 涵江苑; 望江亭; 南京长江大桥
[桂花香] -> [愉悦/开心],Mixed,愉悦/开心; 挫败/烦恼,中/一般,是（挫败->愉悦）,南堡公园; 长江大桥玻璃栈桥
[老式火车] -> [失望],Negative,挫败/烦恼; 失望,中/一般,是 (挫败->失望),大马路; 中国银行南京分行旧址; 下关历史陈列馆; 江苏邮政管理局; 南京招商局旧址; 民国海军医院旧址; 扬子饭店; 中山码头; 民国首都电厂旧址
[大马路的历史感] -> [怀旧/温馨],Neutral,怀旧/温馨; 兴趣/好奇,中/一般,否,民国首都电厂旧址公园; 中山码头; 下关火车公园; 玻璃栈道; 夕Space落日餐厅
[徐徐江风] -> [舒适/放松],Mixed,放松/平静; 无聊/厌烦,中/一般,是（放松->无聊）,民国首都电厂旧址公园; 中山码头; 下关火车公园; 玻璃栈道
[江边落日] -> [愉悦/开心]; [江边晚风] -> [放松/平静],Positive,愉悦/开心; 放松/平静,强/高,否,玻璃栈桥; 下关火车遗址公园; 江豚观测点; 下关大马路; 中山码头; 浦口火车站
[江边的免费开放公园] -> [兴趣/好奇],Mixed,兴趣/好奇; 失望/悲伤,中/一般,是（兴趣->失望）,下关火车主题公园
[落日] -> [放松/平静],Positive,愉悦/开心; 放松/平静,中/一般,否,江边路; 中山码头; 大马路
[法国梧桐树下的火车站] -> [沉浸式怀旧],Positive,感动/流泪; 怀旧/温馨; 理解/领悟,强/高,是（童年困惑->成年感悟）,下关滨江
[网红栈桥] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,强/高,否,浦口码头; 中山码头
[娃兴奋喊我坐船啦] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,下关滨江
[紫金山景观] -> [惊叹/敬畏]; [长江景观] -> [惊叹/敬畏],Positive,自豪/归属感; 惊叹/敬畏,强/高,否,下关滨江; 下关火车主题公园
[落日余晖] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,南京北站; 浦口火车站
[复古风格] -> [浪漫/温馨],Positive,愉悦/开心; 浪漫/温馨,中/一般,否,长江大桥南堡公园; 网红栈桥
[日落+江风+夜景+列车声] -> [幸福感受],Positive,愉悦/开心; 放松/平静; 舒适/安全,强/高,否,中山码头; 浦口码头; 浦口火车站旧址
[圆球雕塑] -> [敬畏/惊叹]; [摩托车冲出场景] -> [活力/震撼],Mixed,怀旧/温馨; 敬畏/惊叹; 悲伤/失落,强/高,是（敬畏->悲伤->希望）,紫金山; 长江老山; 阅江楼; 长江大桥; 幕府山
,Neutral,,弱/低,否,中山码头; 浦口码头
[落日+江风] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,中山码头; 浦口码头
[烟花] -> [惊叹]; [夕阳] -> [治愈]; [城市天际线] -> [兴趣],Positive,愉悦/开心; 敬畏/惊叹; 兴趣/好奇,强/高,否,长江大桥
[对称视角] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,浦口火车站; 中山码头; 浦口码头; 铁路轮渡桥; 长江大桥
[江边风景] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,南京长江大桥
[夕阳江景] -> [愉悦/开心]; [长江大桥] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,下关火车主题公园
[彩虹滑道、粉红沙滩] -> [愉悦/开心],Positive,愉悦/开心; 舒适/安全,中/一般,否,大桥南堡公园
[滨江风光] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,长江大桥
,Negative,挫败/烦恼,中/一般,否,下关火车主题公园; 长江大桥
[绝佳观景点] -> [愉悦/开心],Positive,兴趣/好奇; 愉悦/开心,中/一般,否,下关火车主题公园; 长江大桥; 江豚观赏地
[日落] -> [愉悦/开心]; [江边风景] -> [舒适/安全],Positive,愉悦/开心; 放松/平静; 舒适/安全,强/高,否,长江大桥; 大桥北堡公园
,,,,,燕子矶; 幕燕滨江风光带
[绝美日落] -> [愉悦/开心]; [浪漫氛围] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,浦口火车站
[落日风景] -> [治愈],Positive,放松/平静; 愉悦/开心,强/高,否,中山码头; 浦口码头; 下关火车主题公园; 铁路轮渡旧址; 江豚观赏地; 民国首都电厂旧址公园; 浦口火车站
,,,,,玻璃栈道; 长江大桥; 小火车主题公园; 中山码头
[夕阳倒影] -> [浪漫/温馨],Positive,愉悦/开心; 放松/平静; 浪漫/温馨,强/高,否,
[开阔视野] -> [舒适/安全],Positive,兴趣/好奇; 舒适/安全,中/一般,否,大桥南堡公园; 长江大桥
[开阔江景] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,强/高,否,南堡公园玻璃栈道
,,,,,
[落日] -> [舒适/安全],Positive,兴趣/好奇; 舒适/安全,中/一般,否,下关西火车主题街区
[桂花的气息] -> [愉悦/开心]; [日落景观] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 怀旧/温馨,中/一般,否,通沙汽渡
,Neutral,,弱/低,否,燕子矶; 慕燕长江风光带
[铁路轮渡栈桥旧址] -> [敬畏/惊叹],Positive,敬畏/惊叹; 怀旧/温馨,强/高,否,
[英式大楼] -> [敬畏/惊叹],Positive,自豪/归属感; 敬畏/惊叹,中/一般,否,下关火车主题公园; 中山码头
[绿皮火车车厢以及蒸汽火车头] -> [怀旧/温馨],Positive,愉悦/开心; 怀旧/温馨,中/一般,否,浦口火车站; 南京北站; 大马路; 浦口码头; 中山码头; 阅江楼; 长江大桥玻璃栈道
[大桥宏伟] -> [敬畏/惊叹]; [寒冷气候] -> [遗憾],Mixed,敬畏/惊叹; 怀旧/温馨; 遗憾,中/一般,是（敬畏->遗憾）,中山码头
,Positive,愉悦/开心; 期待/兴趣,中/一般,否,铁路轮渡旧址
[夕阳下的铁轨] -> [敬畏/惊叹],Positive,怀旧/温馨; 愉悦/开心; 敬畏/惊叹,强/高,否,浦口码头; 中山码头; 下关码头; 浦口火车站; 大马路
[波光粼粼] -> [惊叹]; [长江大桥全景] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹; 放松/平静,强/高,否,铁路轮渡旧址
,Positive,舒适/安全,中/一般,否,长江大桥; 大桥南堡公园
,Neutral,,弱/低,否,中山码头; 浦口码头
[长河落日] -> [治愈/敬畏],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,中/一般,否,浦口火车站; 浦口码头; 轮渡栈桥; 扬子江生态公园; 民国建筑群
[民国风格建筑] -> [兴趣/好奇],Positive,兴趣/好奇; 愉悦/开心; 放松/平静,中/一般,否,长江大桥; 大桥南堡公园
[江景+长江大桥] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,江边
[梧桐树顶掠过] -> [惊喜],Mixed,遗憾; 好奇; 惊喜,中/一般,是（遗憾->惊喜）,
[历史建筑] -> [敬畏/惊叹]; [优美园林] -> [愉悦/开心],Positive,兴趣/好奇; 愉悦/开心,中/一般,否,中山码头; 浦口火车站; 长江大桥; 玻璃栈道; 下关火车主题公园; 民国首都电厂旧址公园; 映红桥; 大马路
[樱花盛开] -> [愉悦/开心]; [宋美龄舞厅] -> [怀旧/温馨],Positive,愉悦/开心; 放松/平静; 怀旧/温馨,中/一般,否,中山码头; 浦口码头; 南京北站; 浦口火车站近代建筑风貌区; 浦口公园; 扬子江生态公园; 长江大桥
,Neutral,,中/一般,否,下关火车主题公园; 江边栏杆
[江边日落] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 敬佩/惊叹,中/一般,否,盐仓桥广场; 挹江门; 热河路; 南京西站; 中山码头
[江风舒服] -> [放松/平静]; [轮渡性价比高] -> [满意],Positive,愉悦/开心; 放松/平静,中/一般,否,总统府; 总统府门楼; 西花园; 孙中山临时大总统办公室; 煦园; 子超楼; 东湖; 行政楼北楼; 行政楼南楼; 洪秀全与天朝宫殿; 陶林二公祠; 两江总督署史料展; 东苑; 石舫; 中山广场; 观戏台; 孙中山起居室; 博爱湖; 西苑门出口
[夕阳下的南京都市] -> [敬畏/惊叹],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,颐和扬子酒店; 民国首都电厂旧址; 大马路; 下关历史陈列馆; 铁路轮渡栈桥旧址; 下关火车主题公园; 民国海军医院旧址; 中山码头
[高差感] -> [紧张感]; [开阔江景] -> [愉悦感],Positive,紧张; 自豪; 愉悦,中/一般,是（紧张->自豪->愉悦）,
[夕阳] -> [愉悦],Mixed,失望; 愉悦,中/一般,是 (失望->愉悦),下关火车主题公园
[灯光] -> [愉悦/开心],Positive,愉悦/开心,中/一般,无法判断,中山码头; 浦口码头; 长江大桥; 扬子江生态公园; 浦口老火车站旧址
[江风] -> [舒适/安全]; [波光粼粼的江面] -> [愉悦/开心],Positive,放松/平静; 愉悦/开心; 敬佩/惊叹,强/高,否,长江大桥玻璃栈道; 下关火车公园; 江豚观赏地; 中山码头
,Positive,自豪/归属感; 兴趣/好奇,中/一般,否,南京长江大桥
[标志性建筑] -> [敬佩/惊叹],Positive,自豪/归属感; 敬佩/惊叹,强/高,否,长江大桥; 大桥南堡公园; 玻璃栈道; 湿地公园
[长江和落日景色] -> [敬畏/惊叹],Positive with undertones of melancholy,敬畏/惊叹; 怀旧/温馨,中/一般,否,无法判断
,Neutral,,弱/低,否,静海寺纪念馆; 热河路; 中山码头; 浦口码头; 江北新区; 奥体新城; 江面; 南京西站; 下关火车主题公园; 江边路
,Neutral,,中/一般,否,下关西
,Positive,舒适/安全; 愉悦/开心,弱/低,否,南京长江大桥
[历史风貌] -> [怀旧/温馨],Positive,愉悦/开心; 敬佩/惊叹; 怀旧/温馨; 自豪/归属感,强/高,否,鼓楼滨江
[恶劣天气] -> [失望/悲伤],Mixed,失望/悲伤; 理解/接受,中/一般,是（失望->理解）,南京西站; 铁路轮渡旧址
[橘色落日] -> [治愈/敬畏]; [绿皮火车] -> [怀旧],Positive,愉悦/开心; 放松/平静; 兴趣/好奇; 舒适/安全,强/高,否,
[绿皮火车] -> [兴趣/好奇],Neutral,兴趣/好奇; 失望/悲伤,中/一般,是（失望->兴趣）,浦口码头; 中山码头
[浪漫日落] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,强/高,否,南京西站
[铁轨拍照] -> [愉悦/开心]; [阳光温暖] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 怀旧/温馨,中/一般,否,中山码头
[汽笛声和江鸥] -> [兴趣/好奇]; [摇晃的吊灯光影] -> [敬畏/惊叹],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 兴趣/好奇,强/高,否,下关西火车主题公园; 中山码头; 玻璃栈道; 网红桥; 江豚观赏点; 天妃宫; 静海寺; 狮子山; 阅江楼; 浦口码头; 南京长江大桥; 徐建萍汤包
[橘红色天空] -> [愉悦/开心]; [霞光瑰丽] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,津浦书院
[热带风情] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,强/高,否,下关火车主题公园
[夕阳坠入桥洞] -> [震撼]; [江风拂过桥墩] -> [怀旧],Positive,愉悦/开心; 敬畏/惊叹; 怀旧/温馨,强/高,否,浦口大马路; 浦口火车站; 中山码头; 铁路轮渡栈桥旧址; 长江大桥
[南京长江大桥] -> [自豪/归属感],Mixed,自豪/归属感; 遗憾/失望,中/一般,是（自豪->遗憾）,中山码头; 浦口码头; 浦口火车站
[民国奇遇] -> [兴趣/好奇],Positive,愉悦/开心; 兴趣/好奇; 怀旧/温馨,强/高,否,
[绝美落日] -> [敬畏/惊叹]; [民国风情] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,下关西火车主题街区; 西站时光
[英式建筑风格] -> [兴趣/好奇],Mixed,兴趣/好奇; 失望/悲伤,中/一般,是（兴趣->失望）,长江大桥; 南堡公园玻璃栈道; 浦口码头
[人间日落] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,南京长江大桥; 大桥南堡公园; 玻璃栈道
[玻璃栈道] -> [观赏性强],Positive,愉悦/开心; 放松/平静,中/一般,否,下关火车主题公园; 长江大桥; 浦口火车站; 铁路轮渡旧址
[江豚] -> [兴趣/好奇]; [雕塑] -> [惊讶],Positive,兴趣/好奇; 惊讶,强/高,否,下关火车主题公园; 长江大桥; 栈桥旧址; 欢乐舞台; 江边路
[风] -> [放松/平静],Positive,愉悦/开心; 放松/平静,中/一般,否,中山码头; 浦口码头; 浦口火车站; 南京北站
[城市天际线灯光] -> [敬畏/惊叹],Positive,敬畏/惊叹; 愉悦/开心; 自豪/归属感,强/高,否,中山码头; 长江大桥; 民国首都电厂旧址
[幸存的历史建筑] -> [怀旧],Mixed,怀旧; 惋惜,中/一般,否,南京长江大桥; 玻璃栈道
[江豚出现] -> [激动/兴奋],Positive,愉悦/开心; 兴趣/好奇; 兴奋,强/高,否,江豚观赏地
[长江美景] -> [激动心情],Positive,自豪/归属感; 愉悦/开心,强/高,否,
[工业遗存] -> [敬佩/惊叹],Positive,自豪/归属感; 敬佩/惊叹,中/一般,否,长江; 紫峰大厦; 长江大桥
[开阔江景] -> [放松/平静],Positive,愉悦/开心; 放松/平静,中/一般,否,下关大马路; 中国银行南京分行旧址; 邮局大楼旧址
[浦口火车站的历史场景] -> [怀旧/温馨],Positive,愉悦/开心; 放松/平静; 怀旧/温馨,中/一般,否,长江微笑驿站; 江豚观赏地
[滨江夜景] -> [愉悦/开心],Positive,自豪/归属感; 愉悦/开心,强/高,否,跨江渡轮
[民国风格建筑] -> [怀旧/温馨],Positive,怀旧/温馨; 兴趣/好奇,中/一般,否,南京铁路轮渡旧址; 铁路轮渡栈桥旧址; 南京桥北滨江生态公园
[火车轰隆声] -> [氛围感],Positive,愉悦/开心; 敬畏/惊叹; 兴趣/好奇,强/高,否,长江大桥; 大桥南堡公园; 玻璃栈道
[桂花香] -> [愉悦/开心]; [橘子] -> [怀旧/温馨],Positive,愉悦/开心; 怀旧/温馨,中/一般,否,浦口火车站
[黄昏景色] -> [治愈]; [江水拍打岸堤] -> [放松],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,幕燕滨江风光带; 燕子矶公园; 八卦洲; 南京长江大桥; 中山码头; 浦口码头; 铁路轮渡栈桥旧址; 渡江胜利纪念馆; 阅江楼; 江豚观赏地
,,,,,中山码头; 民国首都电厂旧址公园; 下关历史陈列馆
[灯光秀] -> [自豪/归属感],Positive,自豪/归属感; 怀旧/温馨; 期待/好奇,强/高,否,玻璃栈道; 南京长江大桥; 南堡公园
[江风] -> [舒适/放松]; [江豚出现] -> [幸运/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,浦口火车站
[老物件] -> [怀旧/温馨],Positive,愉悦/开心; 怀旧/温馨; 敬畏/惊叹,中/一般,否,中山码头; 民国首都电厂旧址公园; 江豚观赏地; 铁路轮渡栈桥旧址; 下关火车主题公园; 玻璃栈道; 浦口火车站
[朱自清笔下场景] -> [怀旧/温馨],Positive,愉悦/开心; 兴趣/好奇; 怀旧/温馨,强/高,否,
[落日] -> [愉悦/开心]; [江风] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,紫峰大厦; 南京长江大桥; 南京八卦洲长江大桥; 南京大胜关长江大桥; 南京栖霞山长江大桥; 南京江心洲长江大桥; 河西双子塔; 南京眼
,Neutral,平静,弱/低,否,江豚观测点; 下关火车主题公园
[橘子海日落] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,浦口火车站
[开阔江景] -> [舒适/放松],Positive,愉悦/开心; 放松/平静,中/一般,否,中山码头; 浦口码头; 浦口火车站
,Positive,平静/安宁; 敬畏/惊叹,中/一般,否,下关火车主题公园
[橘子海日落] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,中山码头; 浦口码头; 定淮门长江隧道
[南京长江大桥] -> [自豪/归属感],Positive,自豪/归属感; 敬佩,强/高,否,下关火车主题公园
[夜景灯光] -> [愉悦/开心],Positive,放松/平静; 舒适/安全,中/一般,否,江豚广场
,Neutral,,弱/低,否,
[日落] -> [愉悦/开心]; [亮灯景观桥] -> [惊喜/惊叹],Positive,愉悦/开心; 放松/平静; 兴趣/好奇; 自豪/归属感,强/高,否,中山码头; 浦口码头; 民国首都电厂旧址公园; 江豚观赏地; 民国海军医院旧址; 铁路轮渡栈桥旧址; 下关火车公园; 长江大桥玻璃栈道
[秋季傍晚江边风景] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇; 舒适/安全,中/一般,否,南京长江大桥
[橘子海日落] -> [治愈/敬畏]; [江风吹拂] -> [舒适],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,南堡公园; 玻璃栈桥; 上元门地铁站
[夕阳余晖照进廊台] -> [强烈文艺气息扑面而来],Positive,敬畏/惊叹; 怀旧/温馨; 兴趣/好奇,强/高,否,下关火车主题公园
[朱自清《背影》历史背景] -> [敬爱/感动],Positive,愉悦/开心; 敬爱/感动; 怀旧/温馨,中/一般,否,中山码头; 浦口码头; 浦口火车站; 下关火车主题公园; 长江大桥玻璃栈桥; 江豚观测站; 阅江楼
[轮船+江风+日落] -> [治愈/放松],Positive,愉悦/开心; 放松/平静,强/高,否,下关火车主题公园; 长江大桥玻璃栈道; 阅江楼
,Neutral,怀旧/温馨; 悲伤/失望,中/一般,否,下关火车主题公园
[春天景象] -> [治愈/惊叹],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,中山码头; 浦口火车站
[民国建筑特色] -> [自豪/归属感],Positive,自豪/归属感; 怀旧/温馨,强/高,否,浦口火车站; 滨江风光带; 老山国家森林公园
[开阔江景] -> [愉悦/开心]; [音乐喷泉] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,中山码头
[晴朗天气] -> [愉悦/开心]; [江风吹拂] -> [放松/平静],Positive,愉悦/开心; 放松/平静,中/一般,是（压抑->放松）,民国海军医院旧址
,Neutral,,弱/低,否,浦口火车站; 浦口码头; 中山码头
,Neutral,,弱/低,否,大马路; 下关历史陈列馆
[夕阳下行驶的列车] -> [放松/平静],Mixed,放松/平静; 愉悦/开心; 孤独/悲伤,中/一般,是（愉悦->孤独）,浦口码头; 滨江风光带
[落日] -> [愉悦/开心]; [江风] -> [放松/平静],Positive,愉悦/开心; 放松/平静,中/一般,否,江边
[日落红晕] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,中山码头; 浦口火车站; 桥北滨江生态公园; 万象汇; 长江大桥; 下关火车公园
[玻璃栈桥] -> [放松/平静],Positive,放松/平静,中/一般,否,江豚观赏地
[历史老建筑] -> [有历史感],Positive,兴趣/好奇; 期待/兴奋,中/一般,否,灯塔
