关系抽取_RE_Cognitive_Emotion
[配套比较全] -> [舒适/安全]; [小区较老] -> [兴趣/好奇]
[有设计感] -> [舒适\/安全]
[中国最文艺的火车站之一] -> [自豪/归属感]; [全国重点文物保护单位] -> [敬佩]
[令人惊叹] -> [敬畏/惊叹]
[美好及治愈] -> [放松/平静]; [夕阳美景] -> [愉悦/开心]
[风雨过后的平安感] -> [放松/平静]; [夏天的感觉] -> [愉悦/开心]
[很美] -> [愉悦/开心]; [很美] -> [放松/平静]
[宏伟壮观] -> [敬畏/惊叹]; [美不胜收] -> [愉悦/开心]
[神秘感] -> [敬畏/惊叹]; [最美时刻] -> [愉悦/开心]
[有设计感] -> [愉悦/开心]
[历史文化氛围] -> [兴趣/好奇]
[浪漫氛围] -> [愉悦/开心]; [宁静环境] -> [放松/平静]
[硬核工业风] -> [兴趣/好奇]; [历史感爆棚] -> [敬畏/惊叹]
[需要观光车] -> [疲惫]; [斋面好吃] -> [兴趣/好奇]
[诗意描述] -> [愉悦/开心]; [历史与现代交融] -> [自豪/归属感]
[中式美学氛围] -> [欣赏/感兴趣]; [晴天视野开阔] -> [愉悦/开心]
[家庭回忆] -> [怀旧/温馨]; [城市变迁] -> [失落/悲伤]
[所见皆美景] -> [愉悦/开心]
[雄伟壮观] -> [自豪/归属感]; [历史见证] -> [敬佩/感慨]
[有历史感] -> [兴趣/好奇]; [很有年代剧的感觉] -> [愉悦/开心]
[热门日落观赏地] -> [失望]; [临时停航] -> [担心]
[风景优美] -> [愉悦/开心]; [放松氛围] -> [放松/平静]
[僻静氛围] -> [放松/平静]; [成功拍摄满意照片] -> [愉悦/开心]
[好看] -> [愉悦/开心]; [有氛围感] -> [放松/平静]
[叙利亚风格] -> [悲伤/失望]; [历史延续感] -> [怀旧/温馨]
[有历史感] -> [怀旧/温馨]; [浪漫氛围] -> [愉悦/开心]
[浪漫日落] -> [愉悦/开心]; [小众静谧] -> [放松/平静]
[值得打卡] -> [愉悦/开心]; [有氛围感] -> [放松/平静]
[好看/出片] -> [愉悦/开心]; [宁静] -> [放松/平静]
[有历史感] -> [怀旧/温馨]; [有故事] -> [兴趣/好奇]
[自然生态之美] -> [愉悦/开心]; [有故事] -> [敬畏/惊叹]
[出片] -> [愉悦/开心]; [穿越感] -> [敬畏/惊叹]; [文学经典] -> [怀旧/温馨]
[超级超级出片] -> [愉悦/开心]; [舒服] -> [放松/平静]
[实用性高] -> [舒适/安全]; [船头观景最佳] -> [兴趣/好奇]
[能拍出三组风格的照片] -> [愉悦/开心]
[极致浪漫] -> [愉悦/开心]; [极致浪漫] -> [放松/平静]
[秋意渐浓] -> [愉悦/开心]; [文化感知] -> [放松/平静]
[怀旧氛围] -> [怀旧/温馨]
[美丽景色] -> [愉悦/开心]; [浪漫氛围] -> [浪漫/温馨]
[复古风格] -> [怀旧/温馨]; [火车知识] -> [愉悦/开心]
[导航困难] -> [失望]; [美丽风景] -> [欣赏]
[像宫崎骏漫画一样的风景] -> [愉悦/开心]; [轻松氛围] -> [放松/平静]
[日剧感] -> [愉悦/开心]; [复古氛围] -> [怀旧/温馨]
[有历史厚重感] -> [敬畏/惊叹]; [国家象征意义] -> [自豪/归属感]
[复古] -> [怀旧/温馨]; [好拍] -> [愉悦/开心]
[年代的共同回忆] -> [怀旧/温馨]
[怀旧氛围] -> [怀旧/温馨]; [文艺气息] -> [愉悦/开心]
[百年浪漫] -> [愉悦/开心]; [放空自己] -> [放松/平静]
[历史记忆] -> [怀旧/温馨]; [历史沧桑感] -> [敬畏/惊叹]
[浪漫氛围] -> [愉悦/浪漫]
[出片场景] -> [愉悦/开心]; [历史氛围] -> [敬佩/惊叹]
[怀念过去的亮灯景观] -> [怀念/温馨]; [现状照明不佳] -> [失望/悲伤]
[文学厚重感] -> [敬佩/崇敬]; [历史感] -> [怀旧/温馨]
[有情怀] -> [愉悦/开心]; [怀旧氛围] -> [怀旧/温馨]
[宁静氛围] -> [放松/平静]; [怀旧感] -> [怀旧/温馨]
[有文化底蕴] -> [敬佩/惊叹]
[便民利民] -> [愉悦/开心]; [城市更新] -> [自豪/归属感]
[看到大量外国游客] -> [兴趣/好奇]
[有历史感] -> [怀旧/温馨]
[美丽景色] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静]
[有氛围感] -> [愉悦/开心]
[有历史感] -> [平静/中性]
[惊艳] -> [敬畏/惊叹]; [浪漫氛围] -> [愉悦/开心]
[吹得鼻涕直流] -> [尴尬]; [网红打卡地] -> [愉悦/开心]
[有故事] -> [怀旧/温馨]
[历史厚重感] -> [怀旧/温馨]; [新旧对比] -> [兴趣/好奇]
[有历史感] -> [敬佩/惊叹]; [文学联想] -> [怀旧/温馨]
[滨江美景] -> [愉悦/开心]; [怀古之情] -> [怀旧/温馨]
[距离远的认知] -> [失望/焦虑]
[历史地标] -> [Neutral]
[色彩协调] -> [愉悦/开心]; [和谐氛围] -> [放松/平静]
[不实用] -> [悲伤/失望]
[放松氛围] -> [放松/平静]; [浪漫氛围] -> [愉悦/开心]
[有文化氛围] -> [自豪]; [有意义] -> [愉悦/开心]
[独特] -> [兴趣/好奇]
[如此美景] -> [愉悦/开心]; [宁静氛围] -> [放松/平静]
[壮观] -> [敬畏/惊叹]; [精彩] -> [愉悦/开心]
[文学记忆联想] -> [敬仰/惊叹]
[温馨] -> [温暖/感动]; [有趣] -> [愉悦/开心]
[好看] -> [愉悦/开心]; [宁静氛围] -> [放松/平静]
[设施少] -> [轻微失望]; [剧组干扰] -> [轻微失望]
[压抑氛围] -> [复杂情绪]
[有历史感] -> [怀旧/温馨]; [出片] -> [愉悦/开心]
[有历史感] -> [无明显情感]
[印象深刻的] -> [兴趣/好奇]; [文化共鸣] -> [自豪/归属感]
[缺乏商业配套] -> [挫败/烦恼]
[绝美落日] -> [愉悦/开心]; [洒满金色长江] -> [敬畏/惊叹]
[青春回忆] -> [怀旧]; [伤痛文学] -> [悲伤]
[历史联想] -> [怀旧/温馨]; [日落景观] -> [愉悦/开心]
[交通不便] -> [失望]; [人少、安静] -> [平静]
[对春天花海的向往] -> [期待]; [阴雨天气] -> [失望]
[文化底蕴] -> [怀旧/温馨]; [有故事] -> [敬佩/感动]
[有历史感] -> [怀旧/温馨]; [美丽景色] -> [愉悦/开心]
[有历史感] -> [敬畏/惊叹]; [炫目视觉效果] -> [兴趣/好奇]
[民国风情] -> [怀旧/温馨]; [开阔江景] -> [放松/平静]
[文艺氛围] -> [愉悦/开心]; [怀旧感] -> [怀旧/温馨]
[怀旧氛围] -> [怀旧/温馨]; [历史感] -> [敬畏/惊叹]
[美景] -> [愉悦/开心]; [美景] -> [敬畏/惊叹]
[城市景观改善] -> [自豪/归属感]; [多功能性] -> [愉悦/开心]
[有文化底蕴] -> [愉悦/开心]; [有故事] -> [兴趣/好奇]
[出片效果好] -> [愉悦/开心]; [玻璃栈道有一点点可怕] -> [敬畏/惊叹]
[未达到预期] -> [失望/悲伤]
[有象征意义的历史记忆] -> [怀旧/温馨]; [自豪于老下关历史] -> [自豪/归属感]
[文化连接感] -> [自豪/归属感]; [自然与人文声音融合] -> [愉悦/开心]
[怀旧氛围] -> [怀旧/温馨]; [历史联想] -> [敬佩/惊叹]
[放松] -> [放松/平静]; [愉悦] -> [愉悦/开心]
[美丽] -> [愉悦/开心]; [有历史氛围感] -> [敬佩/惊叹]
[美好城市形象] -> [自豪/归属感]; [新场景有设计感] -> [愉悦/开心]
[有历史感] -> [怀旧/温馨]; [有文化底蕴] -> [自豪/归属感]
[有历史感] -> [怀旧]; [有文化底蕴] -> [自豪/归属感]
[浪漫氛围] -> [放松/平静]; [民国岁月联想] -> [怀旧/温馨]; [告别场景] -> [悲伤/失望]
[有历史感] -> [感慨]; [宁静氛围] -> [平静]
[视野开阔] -> [愉悦/开心]; [壮观] -> [敬畏/惊叹]
[有历史感] -> [中性感受]
[水晶天空] -> [愉悦/开心]; [江豚探头看] -> [敬畏/惊叹]
[复古工业风] -> [兴趣/好奇]; [自然生趣的微凉江风] -> [放松/平静]
[票价便宜] -> [无显著情感变化]
[小美好] -> [愉悦/开心]; [香味浓郁] -> [愉悦/开心]; [历史痕迹] -> [兴趣/好奇]
[壮观] -> [敬畏/惊叹]; [有历史感] -> [愉悦/开心]
[生物多样性成果] -> [自豪/欣慰]; [科普教育性强] -> [兴趣/希望]
[宜居宜业] -> [自豪/归属感]; [青山绿水相映成趣] -> [愉悦/开心]
[浪漫氛围] -> [愉悦/开心]; [宁静环境] -> [放松/平静]
[春天景象] -> [愉悦/开心]; [历史遗迹] -> [怀旧/温馨]
[民国建筑博物馆] -> [怀旧/温馨]; [商业氛围淡化] -> [悲伤/失落]
[历史厚重感] -> [敬畏/惊叹]; [文化氛围] -> [自豪/归属感]
[有历史感] -> [怀旧/温馨]
[有文化底蕴] -> [兴趣/好奇]; [怀旧] -> [温馨]
[惬意氛围] -> [放松/平静]; [媲美上海外滩] -> [愉悦/开心]
[独特景象] -> [兴趣/好奇]; [自然奇观] -> [敬畏/惊叹]
[有氛围感] -> [愉悦/开心]; [有活力] -> [兴趣/好奇]; [根脉中华] -> [自豪/归属感]
[文化气息] -> [自豪/归属感]; [舒适环境] -> [放松/平静]
[家门口的口袋公园] -> [自豪/归属感]
[有历史感] -> [怀旧/温馨]
[文化象征意义] -> [自豪/归属感]
[烟火气] -> [舒适/安全]; [宝藏美食] -> [愉悦/开心]
[有历史感] -> [怀旧/温馨]; [有文化底蕴] -> [敬畏/惊叹]
[休闲放松氛围] -> [放松/平静]; [夕阳好看] -> [愉悦/开心]
[视野开阔] -> [愉悦/开心]; [宁静氛围] -> [放松/平静]
[黄昏景色] -> [平静/思考]; [遇到失落人群] -> [沉思/反思]
[有文化氛围] -> [怀旧/温馨]; [出片] -> [愉悦/开心]
[浪漫氛围] -> [愉悦/开心]; [安静环境] -> [放松/平静]
[有历史感] -> [兴趣/好奇]; [视野开阔] -> [愉悦/开心]
[春天意象] -> [怀旧/温馨]; [完成心愿] -> [愉悦/开心]
[有故事] -> [怀旧/温馨]
[从工业风到暖秋的转变] -> [愉悦/开心]
[出片] -> [愉悦/开心]; [宁静氛围] -> [放松/平静]
[真不错] -> [愉悦/开心]
[出片] -> [愉悦/开心]; [氛围感] -> [放松/平静]
[轻松氛围] -> [愉悦/开心]; [舒适阳光] -> [放松/平静]
[好玩的小众体验] -> [兴趣/好奇]; [跨越不同时代的意义] -> [自豪/归属感]
[路线错误] -> [遗憾/失望]; [未能登大桥] -> [遗憾/失望]
[历史价值] -> [怀旧]; [现状不佳] -> [遗憾]
[有故事] -> [怀旧/温馨]; [有文化底蕴] -> [敬佩/惊叹]
[体现工业历史意义] -> [ Neutral ]
[历史遗迹的现代价值落差] -> [失望]; [外部交通便利] -> [好奇]
[有历史感] -> [怀旧/温馨]; [文艺氛围] -> [兴趣/好奇]
[怀旧氛围] -> [怀旧/温馨]; [复古韵味] -> [愉悦/开心]
[有历史感] -> [怀旧/温馨]
[生态友好] -> [自豪/归属感]; [美景不断] -> [愉悦/开心]; [江豚出现] -> [敬畏/惊叹]
[绝美] -> [愉悦/开心]
[有历史感] -> [兴趣/好奇]
[有历史感] -> [Neutral]
[视野开阔美观] -> [愉悦/开心]; [放松] -> [放松/平静]
[有历史感] -> [自豪/归属感]; [有文化底蕴] -> [敬佩]
[有历史感] -> [怀旧/温馨]; [怀旧氛围] -> [放松/平静]
[唤起儿时记忆] -> [怀旧/温馨]
[历史厚重感] -> [怀旧/温馨]; [复古风情] -> [放松/平静]
[自然氛围感强] -> [愉悦/开心]; [将长江误认为海洋的联想] -> [敬畏/惊叹]
[适合拍照] -> [愉悦/开心]
[有历史感] -> [怀旧/温馨]; [宁静氛围] -> [放松/平静]
[有历史感] -> [兴趣/好奇]; [出乎意料] -> [愉悦/开心]
[有历史感] -> [怀旧/温馨]
[夕阳很美] -> [愉悦/开心]; [有历史感] -> [怀旧/温馨]
[有文化底蕴] -> [怀旧/温馨]
[朴素而真实的情感] -> [怀旧/温馨]; [历史记忆联想] -> [思考/沉思]
[有文化底蕴] -> [自豪/归属感]; [有历史感] -> [兴趣/好奇]
[自由感] -> [放松/平静]; [值得] -> [自豪/归属感]
[历史感] -> [怀旧/温馨]; [回归原始感] -> [敬畏/惊叹]
[风景漂亮] -> [愉悦/开心]; [比中山码头更漂亮] -> [惊喜]
[沧桑感] -> [怀旧]; [历史感] -> [欣赏]
[美丽景观] -> [愉悦/开心]; [生态环保措施] -> [自豪/归属感]
[便捷服务] -> [愉悦/开心]
[舒服的晚风] -> [放松/平静]; [民谣和摇滚] -> [愉悦/开心]; [樱花] -> [敬畏/惊叹]
[怀旧情感] -> [温馨/怀旧]
[怀旧] -> []
[视野开阔] -> [愉悦/开心]; [有设计感] -> [愉悦/开心]
[历史感] -> [兴趣/好奇]
[幸福] -> [愉悦/开心]; [自由] -> [放松/平静]
[交通不便] -> [无奈]; [漂亮] -> [自豪]
[有历史感] -> [怀旧/温馨]; [好神奇] -> [愉悦/开心]
[老电影风格] -> [怀旧/温馨]; [历史与现实结合] -> [兴趣/好奇]
[有文化底蕴] -> [敬佩/惊叹]; [有故事] -> [怀旧/温馨]
[有象征意义] -> [自豪/归属感]
[多年不走] -> [怀旧/温馨]
[放松宁静] -> [放松/平静]
[别有一番韵味] -> [愉悦/开心]; [颓废感十足] -> [敬畏/惊叹]
[怀旧氛围] -> [怀旧/温馨]
[好看/出片] -> [愉悦/开心]; [宁静] -> [放松/平静]
[可可爱爱] -> [愉悦/开心]; [有趣氛围] -> [兴趣/好奇]
[历史联想] -> [中性情感]
[出片] -> [自豪/归属感]; [浪漫氛围] -> [愉悦/开心]
[出片] -> [愉悦/开心]; [常看常新] -> [兴趣/好奇]
[动人美好] -> [愉悦/开心]; [怀旧童年记忆] -> [怀旧/温馨]
[路线清晰] -> [兴趣/好奇]; [公交减员减车] -> [焦虑/担心]
[文化底蕴] -> [兴趣/好奇]; [有故事] -> [敬佩]
[喜欢拍照] -> [愉悦/开心]
[怀旧感] -> [怀旧/温馨]; [担忧城市更新导致意象消失] -> [担忧]
[有回忆] -> [怀旧/温馨]
[有回忆] -> [怀旧/温馨]
[有诗意] -> [怀旧/温馨]; [宁静] -> [放松/平静]
[很美] -> [愉悦/开心]; [宁静氛围] -> [放松/平静]
[有历史感] -> [怀旧/温馨]; [怀旧氛围] -> [愉悦/开心]
[开阔江景] -> [敬畏/惊叹]; [壮观] -> [愉悦/开心]
[浪漫氛围] -> [浪漫/温馨]
[深沉氛围] -> [兴趣/好奇]; [无趣] -> [无聊/厌烦]
[年味儿浓] -> [愉悦/开心]; [人不多] -> [放松/平静]
[生活仪式感] -> [愉悦/开心]; [日常小确幸] -> [舒适/安全]
[有回忆] -> [怀旧/温馨]; [漂亮日落] -> [愉悦/开心]
[江景开阔] -> [愉悦/开心]; [历史遗迹] -> [怀旧/温馨]; [浪打矶石] -> [放松/平静]
[放松] -> [平静]
[凄惨现状] -> [悲伤/失望]; [迷人风景] -> [愉悦/开心]; [霓虹灯夜景] -> [孤独]
[文艺氛围] -> [愉悦/开心]; [历史感] -> [敬佩/惊叹]
[放松氛围] -> [放松/平静]; [景色优美] -> [愉悦/开心]
[开阔江景] -> [愉悦/开心]
[承载美好回忆] -> [浪漫/温馨]
[出片] -> [愉悦/开心]; [有故事] -> [兴趣/好奇]
[zui美的季节] -> [愉悦/开心]; [很浪漫] -> [放松/平静]
[浪漫] -> [愉悦/开心]
[有历史感] -> [怀旧/温馨]; [有故事] -> [自豪/归属感]
[凄惨感受] -> [悲伤/失望]; [迷人风景] -> [愉悦/开心]; [自我感动描述] -> [自我感动]
[历史感] -> [自豪/归属感]; [江水凉风] -> [放松/平静]
[有历史感] -> [自豪/归属感]
[悠悠古韵与蓬勃生机] -> [愉悦/开心]
[有历史感] -> [中性感受]
[宁静氛围] -> [放松/平静]; [新鲜体验] -> [兴趣/好奇]
[神圣氛围] -> [敬畏/惊叹]; [文化联想] -> [自豪/归属感]
[很美] -> [愉悦/开心]; [怀旧] -> [怀旧/温馨]
[温吞的春光] -> [兴趣/好奇]; [转瞬即逝] -> [怀旧/温馨]
[有历史感] -> [兴趣/好奇]
[雄伟] -> [欣赏]; [美] -> [放松/平静]
[景色开阔好看] -> [愉悦/开心]; [工业风出片] -> [兴趣/好奇]
[社会责任感] -> [自豪/归属感]
[展览教育意义] -> [敬佩; 感动; 责任感增强]
[美丽景色] -> [愉悦/开心]; [历史文化氛围] -> [敬畏/惊叹]
[第一次看见这么美的日出] -> [敬畏/惊叹]; [枫叶超美] -> [愉悦/开心]
[夏日氛围感] -> [放松/平静]; [摄影体验] -> [愉悦/开心]
[历史文化学习] -> [兴趣/好奇]; [民国风云变幻] -> [敬佩/崇敬]
[怀旧] -> [怀旧/温馨]
[有故事性] -> [敬畏/惊叹]; [夜晚码头很美] -> [愉悦/开心]
[历史保护与现代化改造] -> [自豪/归属感]
[有历史感] -> [怀旧/温馨]; [有氛围感] -> [愉悦/开心]
[浪漫氛围] -> [愉悦/开心]; [历史感] -> [敬畏/惊叹]
[有历史感] -> [怀旧/温馨]
[历史感] -> [放松/平静]
[整洁美观] -> [愉悦/开心]; [舒适氛围] -> [放松/平静]
[初次体验] -> [兴趣/好奇]; [餐厅评价] -> [比较倾向]
[宁静氛围] -> [放松/平静]; [文化联想] -> [敬佩/崇拜]
[便宜] -> [兴趣/好奇]
[出片效果好] -> [愉悦/开心]
[宁静舒适的氛围] -> [放松/平静]; [缤纷色彩] -> [愉悦/开心]
[有文化底蕴] -> [Neutral]
[历史厚重感] -> [怀旧/温馨]; [百年电力发展缩影] -> [敬佩/惊叹]
[有历史厚重感] -> [自豪/归属感]
[有历史感] -> [怀旧/温馨]; [文艺氛围] -> [愉悦/开心]
[了解百年历史] -> [兴趣/好奇]; [有文化底蕴] -> [自豪/归属感]
[有历史感] -> [敬畏/惊叹]; [适合跑步] -> [愉悦/开心]
[有氛围感] -> [愉悦/开心]
[好看] -> [愉悦/开心]; [治愈] -> [放松/平静]
[承载大量历史记忆] -> [怀旧/温馨]
[有历史感] -> [怀旧/温馨]
[有历史感] -> [自豪/归属感]; [有文化底蕴] -> [敬畏/惊叹]
[有历史感] -> [Neutral]
[历史记忆] -> [怀旧/温馨]; [自豪感] -> [自豪/归属感]
[交通便捷] -> [舒适/安全]
[内部空置] -> [失望/悲伤]
[有设计感] -> [愉悦/开心]; [有氛围感] -> [放松/平静]
[落日江景] -> [愉悦/开心]; [浪打矶石] -> [放松/平静]; [鱼鹰飞翔] -> [敬畏/惊叹]; [民国遗迹] -> [怀旧/温馨]
[宁静氛围] -> [放松/平静]; [历史感] -> [愉悦/开心]
[浪漫氛围] -> [愉悦/开心]; [怀旧联想] -> [温馨/归属感]
[有历史感] -> [怀旧/温馨]
[新旅程的开始] -> [兴趣/好奇]
[有文化底蕴] -> [Neutral]
[视野开阔] -> [愉悦/开心]; [江涛声] -> [放松/平静]
[满满回忆] -> [怀旧/温馨]; [老门东感觉] -> [无聊/失望]
[有历史感] -> [平静]
[很美] -> [愉悦/开心]; [有历史感] -> [放松/平静]
[有历史感] -> [怀旧/温馨]; [有故事] -> [兴趣/好奇]
[非常壮观] -> [敬畏/惊叹]; [具有时代感] -> [自豪/归属感]
[有历史感] -> [怀旧/温馨]
[有历史感] -> [怀旧/温馨]; [有设计感] -> [愉悦/开心]
[梦幻] -> [浪漫]
[有历史感] -> [自豪/归属感]; [有设计感] -> [敬佩]
[有历史感] -> [怀旧/温馨]
[网红江小豚] -> [兴趣/好奇]
[城市精细化管理成效显著] -> [自豪/归属感]; [历史文化元素结合] -> [兴趣/好奇]
[历史感] -> [怀旧/温馨]; [气势十足] -> [敬畏/惊叹]
[适合观江豚] -> [兴趣/好奇]
[水质清澈] -> [愉悦/开心]; [历史氛围] -> [放松/平静]
[有历史感] -> [兴趣/好奇]
[城市发展] -> [中性]
[有历史感] -> [怀旧/温馨]; [雄伟气势] -> [敬畏/惊叹]; [佛光普照] -> [舒适/安全]
[热闹场景] -> [愉悦/开心]; [年味氛围] -> [自豪/归属感]
[装修歇业] -> [挫败/烦恼]; [与家人共处] -> [愉悦/开心]
[别样享受] -> [放松/平静]; [怀旧感] -> [愉悦/开心]
[凄惨场景] -> [失望/悲伤]; [迷人风景] -> [愉悦/开心]; [孤独行走] -> [自我感动]
[回忆互动经历] -> [反思]
[好看] -> [愉悦/开心]
[路线清晰] -> [中性情感]
[极富年代感] -> [怀旧/温馨]; [有设计感] -> [愉悦/开心]
[有历史感] -> [怀旧/温馨]
[出片] -> [愉悦/开心]; [有文化底蕴] -> [自豪/归属感]
[充实] -> [满足/成就感]
[视野开阔] -> [愉悦/开心]
[有历史感] -> [敬佩]; [有文化底蕴] -> [惊叹]
[美丽得不像样] -> [愉悦/开心]; [油画般美感] -> [敬畏/惊叹]
[通勤效率高] -> [舒适/安全]
[有历史感] -> [自豪/归属感]
[历史感] -> [兴趣/好奇]; [文化联想] -> [自豪/归属感]
[历史厚重感] -> [怀旧/温馨]; [半部南京近代史] -> [敬佩/惊叹]
[改善明显] -> [愉悦/开心]; [好看日落] -> [愉悦/开心]
[出片] -> [愉悦/开心]; [放松/平静] -> [吹着江风]
[视野开阔] -> [放松/平静]; [有历史感] -> [愉悦/开心]
[完美] -> [愉悦/开心]
[童年记忆] -> [怀旧/温馨]; [破旧建筑] -> [悲伤/失望]
[好舒服] -> [放松/平静]; [喜欢晒太阳] -> [愉悦/开心]
[火车文化浓郁] -> [兴趣/好奇]; [有文化底蕴] -> [敬畏/惊叹]
[青春靓丽视觉效果] -> [愉悦/开心]
[真正放松] -> [平静/放松]; [历史联想] -> [怀旧/温馨]
[复古风] -> [愉悦/开心]; [怀旧氛围] -> [怀旧/温馨]
[不一样光景] -> [兴趣/好奇; 愉悦/开心]
[有历史感] -> [怀旧/温馨]
[放松氛围] -> [放松/平静]; [惬意时光] -> [愉悦/开心]
[美好] -> [愉悦/开心]; [浪漫氛围] -> [浪漫]
[好看/出片] -> [愉悦/开心]; [放松氛围] -> [放松/平静]
[视野开阔] -> [愉悦/开心]; [舒服的夏风] -> [放松/平静]
[天气多变导致感冒] -> [挫败/烦恼]; [身体不适] -> [悲伤/失望]
[有故事] -> [自豪/归属感]; [历史意义重大] -> [敬佩]
[生态美] -> [愉悦/开心]; [视野开阔] -> [愉悦/开心]
[大片感] -> [愉悦/开心]; [宁静氛围] -> [放松/平静]
[放松] -> [幸福]
[有电影感] -> [愉悦/开心]
[复古工业风] -> [兴趣/好奇]; [有历史感] -> [敬畏/惊叹]
[好看/出片] -> [愉悦/开心]; [江风拂面] -> [放松/平静]; [民国历史氛围] -> [怀旧/温馨]
[出片率高] -> [愉悦/开心]; [晚霞变化] -> [兴趣/好奇]
[历史感] -> [怀旧/温馨]; [国家发展变迁] -> [自豪/归属感]
[节日氛围] -> [愉悦/开心]; [传统文化象征] -> [敬畏/惊叹]
[复古工业风] -> [兴趣/好奇]; [出片] -> [愉悦/开心]
[惬意氛围] -> [放松/平静]; [浪漫场景] -> [愉悦/开心]
[有历史感] -> [怀旧/温馨]; [实现愿望] -> [自豪/归属感]
[有历史意义] -> [怀旧/温馨]; [有文化象征意义] -> [自豪/归属感]
[浪漫氛围] -> [放松/平静]; [壮观景色] -> [愉悦/开心]
[怀旧] -> [愉悦/开心]
[景色优美] -> [愉悦/开心]; [有历史感] -> [怀旧/温馨]
[有历史感] -> [怀旧/温馨]; [年代变迁的轨迹] -> [敬佩/惊叹]
[历史厚重感] -> [敬畏/惊叹]; [生动雕塑] -> [兴趣/好奇]
[文化底蕴] -> [自豪/归属感]; [东亚无双] -> [敬佩]
[复古风格] -> [兴趣/好奇]; [色彩丰富] -> [愉悦/开心]
[解决锦绣华府出行问题] -> [自豪/归属感]; [缓解12路客流压力] -> [愉悦/开心]
[有文化底蕴] -> [兴趣/好奇]; [纪念场所] -> [敬畏/惊叹]
[怀旧联想] -> [思念]
[视野开阔] -> [放松/平静]; [有历史感] -> [愉悦/开心]
[怀旧] -> [愉悦/开心]
[历史感] -> [自豪/归属感]
[浪漫/有氛围感] -> [愉悦/开心]
[好看/出片] -> [愉悦/开心]; [放松氛围] -> [放松/平静]
[共筑未来的积极氛围] -> [自豪/归属感]
[独特景象] -> [兴趣/好奇]
[炫丽温情] -> [愉悦/开心]; [怀旧回忆] -> [怀旧/温馨]
[有历史感] -> [Neutral情感倾向]; [有文化底蕴] -> [Neutral情感倾向]]
[好看/出片] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静]
[文艺氛围] -> [兴趣/好奇]; [歌词场景联想] -> [怀旧/温馨]
[有历史感] -> [好奇/兴趣]; [有文化底蕴] -> [愉悦/开心]
[有文化底蕴] -> [中性评价]
[怀旧氛围] -> [怀旧/温馨]; [文艺气息] -> [兴趣/好奇]
[壮观] -> [敬畏/惊叹]; [有象征意义] -> [兴趣/好奇]
[美; 像画一样] -> [愉悦/开心; 敬畏/惊叹]
[视野开阔] -> [放松/平静]; [有设计感] -> [愉悦/开心]
[公园设施不足] -> [失望/悲伤]; [性价比低] -> [挫败/烦恼]; [长时间交通] -> [无聊/厌烦]
[有故事] -> [怀旧/温馨]; [有文化底蕴] -> [敬佩/惊叹]
[宁静氛围] -> [放松/平静]; [怀旧联想] -> [怀旧/温馨]
[科普氛围浓厚] -> [兴趣/好奇]; [江豚文化传承] -> [放松/平静]
[宁静氛围] -> [放松/平静]; [怀旧联想] -> [温馨]
[慢镜头视觉效果] -> [愉悦/开心]; [骑行顺畅] -> [放松/平静]
[有历史感] -> [怀旧/温馨]; [有文化底蕴] -> [兴趣/好奇]
[视野开阔] -> [放松/平静]; [有历史感] -> [自豪/归属感]
[价格低廉] -> [愉悦/开心]
[有意境] -> [愉悦/开心]; [有特色] -> [兴趣/好奇]
[好看] -> [愉悦/开心]
[高端食材与环境] -> [愉悦/开心]; [独特选址与设计] -> [敬畏/惊叹]
[怀旧氛围] -> [怀旧/温馨]
[听到老南京口音] -> [怀旧/温馨]; [历史感建筑] -> [愉悦/开心]
[绘画效果不满意] -> [挫败/烦恼]
[历史故事] -> [怀旧/温馨]; [落日景观] -> [愉悦/开心]
[波光粼粼] -> [愉悦/开心]; [蓝天白云映衬落日余晖] -> [放松/平静]; [钢筋铁骨映衬春水柔情] -> [敬畏/惊叹]
[有历史感] -> [敬畏/惊叹]; [视觉震撼] -> [愉悦/开心]
[历史感] -> [敬佩/惊叹]; [文化厚重] -> [兴趣/好奇]
[疲惫] -> [挫败]
[人性化设计] -> [愉悦/开心]; [有教育意义] -> [兴趣/好奇]
[艺术美感] -> [愉悦/开心]; [城市景观] -> [敬畏/惊叹]; [归属感联想] -> [自豪/归属感]
[有历史感] -> [兴趣/好奇]
[历史联想] -> [兴趣/好奇]
[有文化底蕴] -> [怀旧/温馨]
[出片] -> [愉悦/开心]; [承载美好回忆] -> [怀旧/温馨]
[有文化底蕴] -> [敬佩/惊叹]; [夕阳无限好] -> [愉悦/开心]
[路线清晰] -> [兴趣/好奇]
[非遗文化展示] -> [兴趣/好奇]; [历史文化氛围] -> [自豪/归属感]
[风景好] -> [中性感受]
[文化底蕴] -> [期待]
[静谧而有历史感的空间] -> [怀旧/温馨]; [出片效果好] -> [愉悦/开心]
[舒适的游轮体验] -> [愉悦/开心]; [迷人的滨江景观] -> [愉悦/开心]
[有回忆] -> [怀旧]
[承载历史意义] -> [中性情感]; [现代旅游功能] -> [中性情感]
[好看建筑] -> [愉悦/开心]; [历史感] -> [怀旧/温馨]; [江风拂面] -> [放松/平静]
[江豚戏水声] -> [愉悦/开心]; [游客嬉笑声] -> [愉悦/开心]
null
[凤栖梧桐文化联想] -> [愉悦/开心]
[自然景观优美] -> [愉悦/开心]; [生态意义] -> [敬畏/惊叹]
