关系抽取_RE_Spatial_Cognitive,关系抽取_RE_Cognitive_Emotion,关系抽取_RE_Emotion_Behavior,关系抽取_RE_Spatial_Emotion
[阴天] -> [宁静氛围],[怀旧联想] -> [思念],[思念] -> [拍照留念],[中山码头] -> [怀旧情绪]; [下关火车主题公园] -> [孤独感]
[南京长江大桥] -> [视野开阔]; [中山码头至浦口火车站路线] -> [路线清晰],[视野开阔] -> [放松/平静]; [有历史感] -> [愉悦/开心],[愉悦/开心] -> [推荐/想再来],[站在江边远看南京长江大桥] -> [心情愉悦舒畅]
,,,
[下关火车主题公园] -> [怀旧],[怀旧] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[绿皮火车] -> [怀旧/温馨]
[南京北岸铁路轮渡栈桥码头旧址] -> [老地方],[历史感] -> [自豪/归属感],[兴趣/好奇] -> [推荐/有兴趣来],[历史遗迹] -> [自豪/归属感]
[日落] -> [出片/好看],[浪漫/有氛围感] -> [愉悦/开心],[愉悦/开心] -> [推荐/可能再来],[日落] -> [愉悦/开心]
[下关江边火车站主题公园] -> [适合滑板运动和拍照]; [夕阳] -> [好看/出片],[好看/出片] -> [愉悦/开心]; [放松氛围] -> [放松/平静],[愉悦/开心] -> [拍照记录]; [放松/平静] -> [推荐下次再来],[落日余晖] -> [治愈/惊叹]
[南京长江大桥] -> [车水马龙声]; [江豚观测点] -> [戏水声]; [中山码头] -> [汽笛声],[共筑未来的积极氛围] -> [自豪/归属感],[自豪/归属感] -> [根脉中华，共筑未来的心声],[江豚戏水声] -> [兴趣/好奇]; [轮渡汽笛声] -> [兴趣/好奇]
,,,
无法判断,无法判断,无法判断,无法判断
[长江] -> [像水族箱],[独特景象] -> [兴趣/好奇],[兴趣/好奇] -> [媒体报道传播],[长江变成水族箱] -> [兴趣/好奇]
[江边日落] -> [炫丽温情]; [滨江风光带] -> [方向感强],[炫丽温情] -> [愉悦/开心]; [怀旧回忆] -> [怀旧/温馨],[愉悦/开心] -> [推荐; 想常来],[江边日落] -> [愉悦/开心]
[民国首都电厂旧址] -> [有历史感; 有故事; 有文化底蕴]; [民国首都电厂旧址公园] -> [有历史感; 有故事; 有文化底蕴]],[有历史感] -> [Neutral情感倾向]; [有文化底蕴] -> [Neutral情感倾向]],[Neutral] -> [发布视频记录]（中性分享行为）,
[中山码头] -> [适合拍照打卡]; [日落] -> [好看/出片],[好看/出片] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静],[愉悦/开心] -> [拍摄Vlog和Plog]; [放松/平静] -> [待了很久/不想走],[橘子海日落] -> [治愈/敬畏]
[下关火车主题公园] -> [文艺氛围浓厚]; [长江大桥] -> [视野开阔],[文艺氛围] -> [兴趣/好奇]; [歌词场景联想] -> [怀旧/温馨],[兴趣/好奇] -> [打卡; 拍照]; [怀旧/温馨] -> [沉浸体验],[长江大桥视野] -> [愉悦/开心]
[下关火车主题公园] -> [有历史感]; [铁路轮渡旧址] -> [有故事],[有历史感] -> [好奇/兴趣]; [有文化底蕴] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[历史工业风貌] -> [好奇/兴趣]
[工业遗产] -> [有历史感]; [改造项目] -> [功能转型],[有文化底蕴] -> [中性评价],[中性评价] -> [无明显行为倾向],
[浦口火车站] -> [有历史感]; [老式站台] -> [文艺],[怀旧氛围] -> [怀旧/温馨]; [文艺气息] -> [兴趣/好奇],[怀旧/温馨] -> [推荐/感兴趣],[复古风格] -> [怀旧/温馨]
[长江大桥] -> [非常壮观]; [红旗] -> [有象征意义],[壮观] -> [敬畏/惊叹]; [有象征意义] -> [兴趣/好奇],[敬畏/惊叹] -> [下次还来],[横亘江面的大桥] -> [敬畏/惊叹]
[中山码头] -> [美; 像画一样],[美; 像画一样] -> [愉悦/开心; 敬畏/惊叹],[愉悦/开心; 敬畏/惊叹] -> [推荐/想再来],[中山码头] -> [愉悦/开心; 敬畏/惊叹]
[揽江台] -> [视野开阔]; [滨江步道] -> [路线清晰],[视野开阔] -> [放松/平静]; [有设计感] -> [愉悦/开心],[放松/平静] -> [散步、观景],[开阔江景] -> [放松/平静]
[下关火车主题公园] -> [公园面积大但设施不足]; [砂之船奥莱] -> [性价比低],[公园设施不足] -> [失望/悲伤]; [性价比低] -> [挫败/烦恼]; [长时间交通] -> [无聊/厌烦],[挫败/烦恼] -> [劝退/不会再来],[长时间交通] -> [无聊/厌烦]
[浦口火车站] -> [承载《背影》文学记忆],[有故事] -> [怀旧/温馨]; [有文化底蕴] -> [敬佩/惊叹],[怀旧/温馨] -> [主动前来实地学习],
[下关火车主题公园] -> [有历史感]; [绿皮火车] -> [有设计感],[宁静氛围] -> [放松/平静]; [怀旧联想] -> [怀旧/温馨],[放松/平静] -> [长时间停留]; [怀旧/温馨] -> [积极分享体验],[绿皮火车] -> [怀旧/温馨]
[江豚观赏平台] -> [视角延伸]; [长江微笑驿站] -> [科普功能强],[科普氛围浓厚] -> [兴趣/好奇]; [江豚文化传承] -> [放松/平静],[兴趣/好奇] -> [推荐前往但需注意不确定性],[江豚标本] -> [放松/平静]
[夕阳] -> [很舒服]; [铁路轮渡栈桥] -> [方便观看],[宁静氛围] -> [放松/平静]; [怀旧联想] -> [温馨],[放松/平静] -> [找一个地方看着长江轮渡],[夕阳] -> [舒服]; [浪花拍打石岸] -> [放松/平静]
[江风] -> [骑行顺畅]; [自行车道] -> [路线清晰],[慢镜头视觉效果] -> [愉悦/开心]; [骑行顺畅] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[江风追着轮毂跑] -> [自由感/速度感]
[浦口火车站] -> [有历史感]; [南京北站] -> [有文化底蕴],[有历史感] -> [怀旧/温馨]; [有文化底蕴] -> [兴趣/好奇],[怀旧/温馨] -> [推荐/感兴趣]; [兴趣/好奇] -> [推荐/感兴趣],[浦口火车站的历史意义] -> [怀旧/温馨]
[下关火车主题公园] -> [有历史感]; [长江大桥] -> [视野开阔],[视野开阔] -> [放松/平静]; [有历史感] -> [自豪/归属感],[放松/平静] -> [徒步五小时]; [自豪/归属感] -> [推荐/下次还来],[燕子矶公园景色] -> [敬畏/惊叹]
[浦口火车站] -> [历史感]; [长江大桥玻璃栈道] -> [网红景观],[价格低廉] -> [愉悦/开心],[愉悦/开心] -> [打卡游览],[网红景观] -> [兴趣/好奇]
[咖啡店] -> [有意境]; [咖啡店] -> [有特色],[有意境] -> [愉悦/开心]; [有特色] -> [兴趣/好奇],[愉悦/开心] -> [推荐/暗示会再来],[江边位置] -> [有氛围感]
[多彩绣球花] -> [好看],[好看] -> [愉悦/开心],[愉悦/开心] -> [推荐观赏],[多彩绣球花] -> [愉悦/开心]
[位于中山码头隔壁的老建筑] -> [难以找到]; [江边位置] -> [拥有一个大露台],[高端食材与环境] -> [愉悦/开心]; [独特选址与设计] -> [敬畏/惊叹],[愉悦/开心] -> [期待带出一条街的美食繁荣],[老建筑中的高端火锅店] -> [敬畏/惊叹]
[绿皮火车] -> [有历史感]; [工业风建筑] -> [有设计感],[怀旧氛围] -> [怀旧/温馨],[怀旧/温馨] -> [推荐/下次还来],[绿皮火车] -> [怀旧/温馨]
,,,
[中山码头] -> [需排队]; [浦口火车站街区] -> [有历史感],[听到老南京口音] -> [怀旧/温馨]; [历史感建筑] -> [愉悦/开心],[怀旧/温馨] -> [推荐/下次还来],[历史街区] -> [愉悦/开心]
[民国海军医院旧址] -> [历史感],[绘画效果不满意] -> [挫败/烦恼],[挫败/烦恼] -> [绘画效果不满意],[民国海军医院旧址] -> [挫败/烦恼]
[浦口火车站] -> [有历史感]; [轮渡] -> [能看到落日]; [长江大桥] -> [最具标志性],[历史故事] -> [怀旧/温馨]; [落日景观] -> [愉悦/开心],[愉悦/开心] -> [推荐傍晚轮渡],[落日] -> [愉悦/开心]
[南京西站滨江公园] -> [让人眼前一亮]; [火车主题公园] -> [信步东西],[波光粼粼] -> [愉悦/开心]; [蓝天白云映衬落日余晖] -> [放松/平静]; [钢筋铁骨映衬春水柔情] -> [敬畏/惊叹],[愉悦/开心] -> [推荐/下次还来],[浪奔浪涌] -> [放松/平静]; [鹰击长空] -> [敬畏/惊叹]
[滨江步道] -> [路线清晰]; [玻璃栈道] -> [视觉震撼],[有历史感] -> [敬畏/惊叹]; [视觉震撼] -> [愉悦/开心],[愉悦/开心] -> [下次还来],[滔滔江水] -> [震撼]; [滨江风光] -> [愉悦]
[长江大桥] -> [具有历史感]; [火车公园] -> [有特色]; [铁路轮渡旧址] -> [教育意义],[历史感] -> [敬佩/惊叹]; [文化厚重] -> [兴趣/好奇],[敬佩/惊叹] -> [认为值得游览]; [兴趣/好奇] -> [愿意花时间了解],[长江大桥] -> [敬佩/惊叹]; [类似广州小蛮腰的建筑] -> [兴趣/好奇]
[步行路径] -> [路线清晰但步行强度高],[疲惫] -> [挫败],[挫败] -> [不会推荐/不会再来],[长距离步行] -> [疲惫]
[绿皮火车] -> [人性化设计]; [铁路文化展示] -> [有教育意义],[人性化设计] -> [愉悦/开心]; [有教育意义] -> [兴趣/好奇],[愉悦/开心] -> [长时间停留参与活动]; [兴趣/好奇] -> [认真学习铁路历史],[打雪仗场景] -> [愉悦/开心]
[中山码头] -> [像维多利亚港]; [浦口码头日落] -> [像莫奈的调色盘],[艺术美感] -> [愉悦/开心]; [城市景观] -> [敬畏/惊叹]; [归属感联想] -> [自豪/归属感],[愉悦/开心] -> [推荐/下次还来]; [自豪/归属感] -> [幸福感表达],[日落景观] -> [愉悦/开心]; [万家灯火] -> [敬畏/惊叹]
[下关火车主题公园] -> [有历史感],[有历史感] -> [兴趣/好奇],[兴趣/好奇] -> [推荐/可能再来],[绿皮火车] -> [兴趣/好奇]
[未完工桥墩] -> [历史联想],[历史联想] -> [兴趣/好奇],[兴趣/好奇] -> [提问],[未完工桥墩] -> [兴趣/好奇]
[浦口火车站] -> [有文化底蕴],[有文化底蕴] -> [怀旧/温馨],[怀旧/温馨] -> [隐含推荐（唤起回忆）],[民国风建筑] -> [兴趣/好奇]
[映虹桥] -> [亲水圆环设计]; [玻璃桥] -> [出片]; [绿皮火车] -> [承载美好回忆],[出片] -> [愉悦/开心]; [承载美好回忆] -> [怀旧/温馨],[愉悦/开心] -> [推荐打卡],[长江大桥全景] -> [敬畏/惊叹]; [我在南京很想你路牌] -> [怀旧/温馨]
,,,
[轮渡] -> [票价便宜]; [民国建筑] -> [有历史感]; [长江大桥] -> [雄伟壮观],[有文化底蕴] -> [敬佩/惊叹]; [夕阳无限好] -> [愉悦/开心],[愉悦/开心] -> [推荐为南京必打卡线路],[经典影视场景] -> [怀旧/温馨]
[长江大桥] -> [地标性]; [德基美术馆] -> [有设计感],[路线清晰] -> [兴趣/好奇],[兴趣/好奇] -> [推荐],
[中山码头] -> [老地标]; [南京白局非遗文化] -> [有文化底蕴],[非遗文化展示] -> [兴趣/好奇]; [历史文化氛围] -> [自豪/归属感],[兴趣/好奇] -> [打卡]; [自豪/归属感] -> [推荐],[南京白局唱腔] -> [兴趣/好奇]
[鱼嘴湿地公园] -> [风景好],[风景好] -> [中性感受],[中性感受] -> [放弃出行],
[下关火车主题公园] -> [历史感],[文化底蕴] -> [期待],[期待] -> [计划参观],[老式火车] -> [好奇]
[下关火车主题公园] -> [有历史感]; [江水涌动] -> [静谧和生机并存],[静谧而有历史感的空间] -> [怀旧/温馨]; [出片效果好] -> [愉悦/开心],[愉悦/开心] -> [长时间停留拍照]; [怀旧/温馨] -> [推荐/下次还来],[光影交错] -> [愉悦/开心]; [江水如古老旋律] -> [敬畏/惊叹]
[豪华游轮中山18号] -> [舒适体验]; [滨江美景] -> [迷人]; [历史遗迹] -> [有教育意义],[舒适的游轮体验] -> [愉悦/开心]; [迷人的滨江景观] -> [愉悦/开心],[愉悦/开心] -> [有兴趣参加],[雄伟的长江大桥] -> [惊叹/敬畏]; [滨江美景] -> [愉悦/开心]
[浦口火车站] -> [有回忆],[有回忆] -> [怀旧],[怀旧] -> [],[浦口火车站] -> [怀旧]
[南京西站] -> [承载历史意义]; [下关火车主题公园] -> [现代旅游功能],[承载历史意义] -> [中性情感]; [现代旅游功能] -> [中性情感],[中性情感] -> [无明显行为意图],
[米黄色火车站主楼] -> [好看]; [民国首都电厂旧址] -> [工业感十足]; [铁路轮渡栈桥旧址] -> [颓废感十足],[好看建筑] -> [愉悦/开心]; [历史感] -> [怀旧/温馨]; [江风拂面] -> [放松/平静],[愉悦/开心] -> [推荐为小众旅游路线],[柴火味] -> [怀旧/温馨]; [超级美丽的日落] -> [愉悦/开心]
[南京长江大桥] -> [车水马龙声]; [江豚观测点] -> [江豚戏水声]; [中山码头] -> [轮渡汽笛声]; [浦口火车站街区] -> [游客嬉笑声],[江豚戏水声] -> [愉悦/开心]; [游客嬉笑声] -> [愉悦/开心],[自豪/归属感] -> [推荐; 根脉中华，共筑未来],[江豚戏水声] -> [愉悦/开心]; [轮渡汽笛声] -> [兴趣/好奇]
,,,
,,,
,,,
null,null,null,null
[长江畔] -> [文化意境]; [梧桐叶] -> [文化典故],[凤栖梧桐文化联想] -> [愉悦/开心],[愉悦/开心] -> [浪漫想象],[梧桐叶偶然进入包内] -> [兴趣/好奇]
[中山码头] -> [开阔江景]; [江豚观赏地] -> [生态意义],[自然景观优美] -> [愉悦/开心]; [生态意义] -> [敬畏/惊叹],[愉悦/开心] -> [推荐/下次还来],[开阔江景] -> [愉悦/开心]; [江豚] -> [敬畏/惊叹]
,,,
[下关火车主题公园] -> [免费拍照圣地]; [傍晚景色] -> [更棒],[免费且好拍] -> [愉悦/开心]; [傍晚景色更棒] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[傍晚景色] -> [愉悦/开心]
[夜景] -> [漂亮],[夜景漂亮] -> [愉悦/开心]; [烧烤味道不错] -> [舒适/安全],[愉悦/开心] -> [推荐/下次还来],[夜景] -> [愉悦/开心]
,,,
[南京长江大桥] -> [南京的骄傲和自豪]; [电梯] -> [通行功能存在争议],[大桥象征意义] -> [自豪感]; [野蛮行为] -> [愤怒/失望],[愤怒/失望] -> [发布微博进行曝光],[南京长江大桥] -> [自豪感/归属感]
[红云桥] -> [最佳夕阳观赏地]; [望江亭] -> [宁静]; [长江大桥] -> [最佳观赏地],[最佳夕阳观赏地] -> [敬畏/惊叹]; [宁静] -> [放松/平静]; [历史厚重感] -> [兴趣/好奇],[放松/平静] -> [一路溜达]; [敬畏/惊叹] -> [拍照打卡]; [兴趣/好奇] -> [记录美好瞬间],[夕阳下的鱼鹰] -> [敬畏/惊叹]; [浪打矶石] -> [放松/平静]
无法判断,无法判断,[放松/平静] -> [周末溜达],无法判断
[中山码头] -> [明清建筑风格]; [江豚观赏地] -> [最佳之处]; [长江大桥玻璃桥] -> [异样风采],[历史厚重感] -> [怀旧/温馨]; [玻璃桥夜景] -> [愉悦/开心],[愉悦/开心] -> [推荐游览]; [敬畏/惊叹] -> [应该来],[玻璃桥夜景] -> [愉悦/开心]; [江豚嬉水场景] -> [惊叹]
[浦口火车站] -> [有文化底蕴]; [灯塔] -> [象征爱与亲情],[有文化底蕴] -> [怀旧/温馨]; [象征爱与亲情] -> [敬爱],[怀旧/温馨] -> [带着儿子前来打卡]; [敬爱] -> [想常来],[浦口火车站] -> [怀旧/温馨]
[蓝色天然气公交车] -> [有怀旧感],[城市交通记忆联想] -> [怀旧/温馨],[兴趣/好奇] -> [观察并记录],[蓝色天然气公交车] -> [兴趣/好奇]
[铁路轮渡栈桥旧址] -> [小众文艺工业风]; [工业风建筑] -> [有设计感],[文艺氛围] -> [愉悦/开心]; [历史感] -> [敬畏/惊叹],[愉悦/开心] -> [推荐]; [敬畏/惊叹] -> [拍照打卡],[文艺工业风建筑] -> [愉悦/开心]
[轮渡] -> [方便可达]; [长江落日] -> [有观赏价值],[浪漫氛围] -> [愉悦/开心]; [落日壮观] -> [敬畏/惊叹],[愉悦/开心] -> [推荐/下次还来],[长江落日] -> [愉悦/开心; 敬畏/惊叹]
[古堡] -> [环境优雅]; [长江渡轮旅程] -> [江景优美],[江景优美] -> [愉悦/开心]; [有回忆] -> [怀旧/温馨],[愉悦/开心] -> [下次还来],[开阔江景] -> [舒心快乐]
[浦口火车站] -> [别有一番韵味]; [民国首都电厂旧址公园] -> [工业感十足]; [铁路轮渡栈桥旧址] -> [颓废感十足],[民国回忆] -> [怀旧/温馨]; [超级美丽的日落] -> [愉悦/开心]; [工业感十足] -> [敬畏/惊叹],[愉悦/开心] -> [推荐为小众景点攻略],[柴火味] -> [怀旧/温馨]; [火车鸣笛声] -> [沉浸式体验]
,,,
[下关火车主题公园] -> [人特别多]; [铁路栈桥] -> [维护不开],[设施维护不到位] -> [失望]; [不文明行为] -> [烦恼],[失望/烦恼] -> [劝退倾向],[人群拥挤] -> [烦恼]
[长江轮渡] -> [路线清晰],,,
[下关火车主题公园] -> [有历史感]; [铁路轮渡旧址] -> [有故事],[有历史感] -> [怀旧/温馨],,
[绿皮火车] -> [有历史感]; [下关火车主题公园] -> [文艺],[怀旧氛围] -> [怀旧/温馨]; [出片效果好] -> [愉悦/开心],[怀旧/温馨] -> [推荐; 下次还来],[绿皮火车] -> [怀旧/温馨]
[长江大桥] -> [开阔江景]; [德基二期8楼美术馆] -> [有设计感],[有设计感] -> [愉悦/开心]; [文艺氛围] -> [放松/平静],[放松/平静] -> [待了很久]; [愉悦/开心] -> [推荐],[开阔江景] -> [放松/平静]
[轮渡] -> [有历史感]; [滨江步行路线] -> [路线清晰],[有历史感] -> [怀旧/温馨],[怀旧/温馨] -> [推荐或愿意尝试],[长江大桥远景] -> [兴趣/好奇]
,,,
[下关火车主题公园] -> [感受老式火车站]; [浦口火车站历史风貌区] -> [怀旧味道],[怀旧味道] -> [怀旧/温馨],[怀旧/温馨] -> [推荐/下次还来],[古今交汇的打卡照] -> [兴趣/好奇]
[浦口火车站] -> [有历史感]; [落日余晖映照江面] -> [美好],[有历史感] -> [怀旧/温馨]; [美好景色] -> [愉悦/开心],[愉悦/开心] -> [推荐; 想常来],[落日余晖] -> [愉悦/开心]; [火车汽笛声] -> [怀旧/温馨]
[长江大桥] -> [有历史感]; [下关火车主题公园] -> [有趣],[历史感] -> [自豪/归属感]; [文化意义] -> [兴趣/好奇],[兴趣/好奇] -> [参观游览],[铁路轮渡栈桥旧址] -> [好奇]
,,,
,,,
[长江大桥] -> [有气势]; [南堡公园滨江段] -> [很不错],[有气势] -> [自豪/归属感]; [很不错] -> [愉悦/开心],[愉悦/开心] -> [想再来/推荐],[长江大桥南堡] -> [自豪/归属感]
[下关火车主题公园] -> [好拍],[出片] -> [愉悦/开心]; [海的女儿] -> [自豪/归属感],[愉悦/开心] -> [推荐/下次还来],[月桂树Lolita洋装] -> [自豪/归属感]
[下关火车主题公园] -> [有历史感],[有历史感] -> [兴趣/好奇],[兴趣/好奇] -> [推荐/感兴趣],[绿皮火车] -> [怀旧/温馨]
[铁路轮渡栈桥旧址] -> [有历史感]; [铁路轮渡栈桥旧址] -> [有故事],[有历史感] -> [怀旧/温馨]; [有趣现象] -> [兴趣/好奇],[兴趣/好奇] -> [参观历史遗迹],[彩虹日影] -> [兴趣/好奇]
[浦口北站] -> [古朴幽静]; [新建景区] -> [千篇一律],[古朴民国建筑] -> [怀旧/温馨]; [景区商业化] -> [失落/悲伤],[失落/悲伤] -> [不会强烈推荐/不会常来],[老建筑] -> [温馨/怀旧]
[绿皮小火车] -> [历史感],[历史感] -> [期待],[期待] -> [感兴趣/想来体验],[绿皮小火车] -> [期待]
[民国首都电厂旧址] -> [有历史感]; [玻璃栈桥] -> [迷人],[滨江风景线] -> [愉悦/开心]; [废弃电厂现状] -> [悲伤/失望],[愉悦/开心] -> [推荐/下次还想来]; [自我感动] -> [流泪],[霓虹灯光] -> [孤独又享受]; [玻璃栈桥] -> [惊喜]
[陈列的火车车厢] -> [有历史感]; [铁路轮渡旧址] -> [有故事],[有历史感] -> [怀旧/温馨]; [有故事] -> [兴趣/好奇],[怀旧/温馨] -> [推荐/想来参观],[老式火车车厢] -> [怀旧/温馨]
无法判断,无法判断,无法判断,无法判断
[浦口火车站] -> [承载《背影》文学记忆]; [南京北站] -> [中国铁路发展历史见证地],[有象征意义] -> [怀旧/温馨]; [有历史感] -> [敬佩/惊叹],[怀旧/温馨] -> [参观并反思亲情],[浦口火车站] -> [怀旧/温馨]
[江面] -> [波光粼粼]; [江豚] -> [幸运感],[幸运感] -> [惊喜/惊叹]; [奇遇感] -> [愉悦/开心],[惊喜/惊叹] -> [推荐; 想再次体验],[江豚出现] -> [惊喜/惊叹]
[浦口火车站] -> [压抑氛围]; [笨拙翻过栅栏] -> [落寞背影],[压抑气氛] -> [紧张/怨恨]; [父亲失业] -> [复杂情绪]; [理解父亲] -> [释然],[怨恨] -> [疏远父亲]; [释然] -> [回忆时流泪怀念],[深青色棉袍在风中飘动] -> [倔强印象]; [落寞背影消失在雾气中] -> [悲伤/失落]
[玻璃栈道] -> [视野开阔]; [长江大桥] -> [有设计感],[好看/出片] -> [愉悦/开心]; [浪漫氛围] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[江边日落] -> [敬畏/惊叹]; [长江大桥夜景] -> [愉悦/开心]
[浦口火车站] -> [有历史感; 有故事; 有文化底蕴],[有历史感] -> [中性情感],,
[下关火车主题公园] -> [取景真不错],[取景真不错] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[工业风建筑] -> [怀旧]; [绿皮火车] -> [有历史感]
[渡江游轮] -> [便宜实用]; [博物馆] -> [震撼],[便宜实用] -> [开心]; [震撼] -> [惊讶],[开心] -> [推荐渡江游轮]; [惊讶] -> [拍照分享],[硬核工业风] -> [开心]; [公交驾驶风格] -> [焦虑]
[复古建筑] -> [独特魅力]; [锈迹斑斑铁轨] -> [随手一拍都是大片],[独特魅力] -> [愉悦/开心]; [历史感] -> [敬畏/惊叹],[愉悦/开心] -> [推荐/下次还来],[复古建筑] -> [愉悦/开心]; [历史感] -> [敬畏/惊叹]
[江堤] -> [开阔/有历史感],[开阔/有历史感] -> [放松/平静],[放松/平静] -> [下次还来],[阳光温暖] -> [舒适/安全]; [开阔江景] -> [放松/平静]
[下关火车主题公园] -> [有设计感]; [江边日落] -> [浪漫],[好看/出片] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静],[愉悦/开心] -> [拍照打卡]; [放松/平静] -> [推荐/下次还来],[江边日落] -> [愉悦/开心]; [火车主题景观] -> [怀旧]
,,,
[下关火车主题公园] -> [适合拍照]; [火车与江景] -> [碰撞不一样的火花],[出片] -> [愉悦/开心]; [文艺氛围] -> [放松/平静],[愉悦/开心] -> [推荐; 想再来],[江边夕阳] -> [愉悦/开心]
[下关火车主题公园] -> [青春靓丽车模],[青春靓丽] -> [愉悦/开心],[愉悦/开心] -> [欢迎约拍],[下关火车主题公园] -> [兴趣/好奇]
,,,
,,,
,[归属感] -> [自豪/归属感],[自豪/归属感] -> [出镜并分享摄影作品],
[浦口火车站] -> [有历史感]; [落日余晖映照江面] -> [美好],[有历史厚重感] -> [敬畏/惊叹]; [美好视觉感受] -> [愉悦/开心]; [文学记忆关联] -> [怀旧/温馨],[愉悦/开心] -> [推荐; 下次还来],[落日余晖映照江面] -> [愉悦/开心]; [汽笛声] -> [敬畏/惊叹]
[网红灯塔] -> [好看/出片]; [落日] -> [浪漫],[好看/出片] -> [愉悦/开心]; [浪漫] -> [放松/平静],[愉悦/开心] -> [推荐/下次还来],[橘子海落日] -> [治愈/敬畏]; [江风] -> [舒适]
[家门口] -> [休闲放松],[休闲放松] -> [舒适/安全],[舒适/安全] -> [在家门口玩玩],
[轮渡] -> [便宜实用]; [浦口火车站] -> [有历史感],[浪漫氛围] -> [愉悦/开心]; [文化联想] -> [怀旧/温馨],[愉悦/开心] -> [推荐/下次还来],[夕阳晚照] -> [愉悦/开心]
[弘阳广场] -> [独具魅力]; [皮影戏] -> [非遗独特韵味],[年味儿十足] -> [愉悦/开心]; [非遗表演] -> [兴趣/好奇],[愉悦/开心] -> [推荐; 下次还来],[舞龙舞狮] -> [兴趣/好奇]; [祈福求签] -> [期待]
[蓝天白云碧水] -> [惊艳]; [多个景点集中分布] -> [路线清晰],[美丽] -> [愉悦/开心]; [惊艳的云景] -> [敬畏/惊叹],[愉悦/开心] -> [推荐/想再来],[惊艳的云景] -> [敬畏/惊叹]
,,,
[南京西站] -> [有文化底蕴]; [南京西站] -> [有故事],[怀旧] -> [怀旧/温馨],[怀旧/温馨] -> [文学联想]; [悲伤/失望] -> [影视回忆],[南京西站] -> [怀旧/温馨]
[轮渡] -> [有意思]; [江边落日] -> [很美],[很美] -> [愉悦/开心]; [放松氛围] -> [放松/平静],[愉悦/开心] -> [推荐/感兴趣],[江边落日] -> [愉悦/开心]
[码头] -> [浪漫宁静氛围]; [落日余晖] -> [格外美丽],[格外美丽] -> [愉悦/开心]; [浪漫氛围] -> [愉悦/开心],[愉悦/开心] -> [推荐/可能再来],[落日余晖] -> [愉悦/开心]
[下关火车主题公园] -> [有设计感; 有氛围感],[出片好看] -> [愉悦/开心]; [有氛围感] -> [自豪/归属感],[愉悦/开心] -> [拍照打卡并分享],[JK制服+火车背景] -> [自豪/归属感]
,,,
[南京长江大桥] -> [可以看]; [轮渡] -> [二次过长江],,,
[铁路轮渡桥] -> [市级文物保护单位]; [首都电厂旧址] -> [区级文物保护单位],[历史文化价值] -> [中性情感],[中性情感] -> [研究探索行为],
[城门] -> [必经之路],,,
[五角星雕塑群] -> [壮观]; [蒸汽火车头] -> [极富年代感],[怀旧氛围] -> [怀旧/温馨]; [极富年代感] -> [敬畏/惊叹],[愉悦/开心] -> [推荐/想再来],[橘色夕阳] -> [愉悦/开心]; [站台时钟报时声] -> [怀旧/温馨]
[六条线路] -> [多样化]; [民国建筑] -> [有影响力],[历史文化氛围] -> [自豪/归属感]; [线路多样性] -> [兴趣/好奇],[自豪/归属感] -> [推荐所有线路],[依山傍水风貌] -> [自豪/归属感]
[锈迹斑斑的钢轨] -> [具有历史感]; [沧桑感的站房] -> [工业风格鲜明],[有文化底蕴] -> [怀旧/温馨]; [历史厚重感] -> [敬畏/惊叹],[兴趣/好奇] -> [推荐参观],[工业风格建筑] -> [敬畏/惊叹]
[长江水位超过预警] -> [可能影响公园功能可用性],[水位超过预警] -> [担忧/焦虑],[担忧/焦虑] -> [回避意图],[长江变成水族箱] -> [担忧/焦虑]
[滨江大道] -> [适合骑行]; [金陵特色] -> [有氛围],[享受冬日阳光] -> [放松/平静],[放松/平静] -> [报复性出游]; [愉悦/开心] -> [骑车6小时],[冬日阳光] -> [舒适/安全]
[中山码头] -> [南京大屠杀遗址]; [纪念碑] -> [历史场景描述],[悲剧性历史事件] -> [悲伤/敬畏],[悲伤/敬畏] -> [参观/悼念],[纪念碑] -> [敬畏/惊叹]
,,,
[老浦口火车站] -> [有历史感],[有文化底蕴] -> [怀旧/温馨],[兴趣/好奇] -> [推荐/感兴趣],[历史风貌建筑] -> [怀旧/温馨]
,,,
[长江大桥] -> [地标性]; [开阔江景] -> [出片],[开阔视野] -> [放松/平静]; [出片效果] -> [愉悦/开心],[放松/平静] -> [推荐; 下次还来],[日落景观] -> [愉悦/开心]
[中山码头渡轮] -> [价格便宜],[价格便宜] -> [愉悦/开心],[愉悦/开心] -> [推荐],
[浦口火车站] -> [别有一番韵味]; [民国首都电厂旧址公园] -> [工业感十足]; [铁路轮渡栈桥旧址] -> [颓废感十足],[好看] -> [愉悦/开心]; [恍若隔世] -> [怀旧/温馨]; [工业感十足] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 下次还来]; [怀旧/温馨] -> [拍照体验良好],[米黄色火车站] -> [愉悦/开心]; [长江日落] -> [敬畏/惊叹]; [柴火香味] -> [愉悦/开心]
