关系抽取_RE_Spatial_Cognitive
[锦绣江山花园] -> [配套比较全]; [锦绣江山花园] -> [小区较老]
[中山码头] -> [多年不走]
[江边] -> [放松宁静]
[浦口火车站] -> [别有一番韵味]; [民国首都电厂] -> [工业感十足]; [铁路轮渡栈桥] -> [颓废感十足]
[浦口火车站] -> [有历史美感]
[网红灯塔] -> [好看/出片]; [滨江步道] -> [路线清晰]
[可口可乐博物馆] -> [可可爱爱]; [生产线] -> [有趣]
[桥] -> [位置描述]; [中山码头] -> [历史联想]
[下关火车主题公园] -> [适合拍照]; [江边日落] -> [视觉出片]
[中山码头] -> [常看常新]; [中山码头] -> [出片]
[3km滨江路线] -> [浪漫独特]; [晚霞] -> [漂亮]; [S型弯道] -> [有生活感]
[公交+渡轮路线] -> [路线清晰但存在不确定性]
[民国首都电厂旧址公园] -> [有故事; 文化底蕴]
[复古火车] -> [有设计感]
[废弃火车站月台] -> [怀旧感]; [浦口] -> [具有时代象征意义]
[中山码头] -> [有回忆]
[浦口老火车站] -> [有历史感]
[日落] -> [有氛围感]
[下关火车主题公园] -> [推荐]; [夕阳] -> [很美]
[南京下关火车主题公园] -> [仿佛回到了民国时期]
[玻璃栈桥] -> [开阔江景]; [长江大桥] -> [壮观]
[落日余晖] -> [美丽壮观]
[铁路遗址] -> [最喜欢]; [冬季气候] -> [深沉氛围]
[浦口老车站] -> [年味儿浓]; [新装] -> [人不多]
[中山码头公交终点站] -> [路线清晰]; [咖啡店] -> [生活仪式感强]
[中山码头] -> [熟悉]; [漂亮日落] -> [出片]
"[红云桥] -> [落日最佳观赏地]; [望江亭] -> [曲径幽深,没有过度开发]"
[下关电厂] -> [凄惨]; [玻璃栈桥] -> [迷人/给我惊喜]
[浦口火车站] -> [有历史感]; [博物馆展览] -> [精致]
[步行道] -> [路线清晰]; [滨江网红打卡地] -> [出片]
[中山码头] -> [开阔江景]
[中山码头轮渡日落] -> [超浪漫]
[公交线路] -> [路线清晰]
[下关火车主题公园] -> [适合拍照]; [绿皮火车] -> [有设计感]
[公交线路] -> [路线清晰]
[中山码头] -> [很浪漫]; [日落] -> [很浪漫]
[中华书局] -> [有历史感]; [御道街] -> [有故事]; [中山码头] -> [有历史感]
[下关电厂现状] -> [凄惨]; [滨江风景线] -> [迷人]; [玻璃栈桥] -> [惊喜]
[蒸汽火车] -> [真实]; [长江] -> [第一次近距离]
[中山码头] -> [有历史感]; [浦口火车站] -> [有历史感]; [民国首都电厂旧址] -> [有历史感]
[江风] -> [凉意]; [宽阔江面] -> [悠悠古韵与蓬勃生机]
[铁路轮渡栈桥] -> [有历史感]
[蓝调时刻] -> [美丽有氛围感]; [轮渡] -> [有仪式感]
[浦口火车站] -> [承载朱自清《背影》的记忆]; [牛首山地宫] -> [神圣]
[梧桐树] -> [很美]; [路牌留言] -> [很emo]; [老火车站] -> [怀旧]
[中山码头江风] -> [追逐青年]; [老门东青石板路] -> [市井生活氛围]
[玻璃栈道] -> [江景视野]; [下关火车主题公园] -> [工业风建筑]
[长江大桥] -> [雄伟]; [桥灯倒影] -> [确实美]
[工业风建筑] -> [出片]; [铁路栈桥旧址] -> [有历史感]
[民国海军医院旧址] -> [作为核酸检测点功能完善]
[渡江胜利纪念馆] -> [展览生动]; [民国首都电厂旧址公园] -> [红色印迹]
[长江传奇游轮] -> [旅游线路设计合理]; [阅江楼] -> [视野开阔]
[栖霞山日出] -> [第一次看见这么美的日出]; [栖霞山枫叶] -> [枫叶超美]
[玻璃栈道] -> [适合摄影]; [晚霞] -> [视觉冲击力]
[民国建筑遗存] -> [历史厚重感]; [江滨码头] -> [通商开埠历史]
[浦口火车站] -> [有历史感]; [轮渡口] -> [有回忆]
[黄昏日落] -> [超级美]; [夜晚的码头] -> [超级美]
[浦口火车站历史风貌区] -> [历史保护与现代化改造]; [D9街区] -> [消防安全水平提升]
[浦口火车站] -> [有历史感]; [青檐碎雨] -> [有氛围感]
[小红楼] -> [太浪漫了]; [长江日落] -> [浪漫]
[老火车] -> [有历史感]
[下关火车主题公园] -> [历史感]
[口袋公园] -> [方便可达]; [工业风建筑] -> [有设计感]
[南堡公园] -> [初次体验]; [火车站] -> [文学作品关联]
[浦口火车站] -> [有历史感]; [霓虹灯光] -> [有氛围感]
[轮渡] -> [便宜]
[下关火车主题公园] -> [出片效果好]
[滨江秋色] -> [缤纷; 好看]
[民国首都电厂旧址公园] -> [有文化底蕴]
[民国首都电厂旧址公园] -> [具有历史感]; [保留原貌的工业设施] -> [怀旧氛围]
[浦口火车站] -> [有历史感]
[浦口火车站] -> [有文化底蕴]; [轮渡] -> [票价低廉且具备观光功能]
[下关火车主题公园] -> [带你了解中国火车发展的百年历史]; [铁路轮渡旧址] -> [有故事]
[滨江风光带] -> [路线清晰]; [玻璃栈道] -> [适合观景]
[浦口火车站] -> [有氛围感]; [近代建筑风貌区] -> [有氛围感]
[公交车] -> [路线清晰]; [日落] -> [好看]
[浦口火车站] -> [承载大量历史记忆]
[浦口火车站] -> [有历史感]
[民国首都电厂旧址] -> [有历史感]; [江面夕照] -> [唯美]; [高大塔吊] -> [层次丰富与壮观]
[民国首都电厂旧址公园] -> [有文化底蕴]
[南京下关火车主题园] -> [承载历史记忆]; [蒸汽机车、绿皮车、仿老式火车站候车厅] -> [古朴动人]
[公交站牌] -> [路线清晰]
[民国海军医院旧址] -> [内部空置]
[下关火车主题公园] -> [有设计感]; [长江和大桥景观] -> [有氛围感]
[红云桥] -> [落日夕阳最佳观赏地]; [长江大桥] -> [最佳观赏地]; [望江亭] -> [宁静]; [民国码头] -> [有历史感]
[下关火车主题公园] -> [计划游览]
[浦口江边] -> [宁静/放松]; [百年浦口老火车站] -> [有历史感]
[栖霞山红叶] -> [色彩斑斓]; [中山码头夕阳] -> [视野开阔]
[浦口火车站] -> [有历史感]
[中山码头] -> [路线起点]; [浦口码头] -> [目的地]
[南京长江大桥] -> [有历史感]; [南京长江大桥] -> [有象征意义]
[滨江风光带] -> [路线清晰]; [玻璃栈道] -> [视野开阔]
[老建筑] -> [满满回忆]; [大马路] -> [老门东感觉]
[铁路轮渡栈桥旧址] -> [有历史感]
[轮渡] -> [真有意思]; [江边落日] -> [很美]
[中山码头] -> [有历史感]; [浦口火车站] -> [有故事]
[长江大桥] -> [非常壮观]; [南堡和北堡红旗] -> [具有象征意义]
[下关火车主题公园] -> [有历史感]
[浦口火车站] -> [有历史感]; [绿皮火车] -> [有设计感]
[浦口火车站] -> [有历史感]; [近代建筑风貌] -> [有设计感]
[浦口火车站] -> [有文化底蕴]
[落日] -> [吸引用户前往拍摄]
[火车头主题公园] -> [体现历史感和文化内涵]
[铁路轮渡栈桥旧址] -> [气势十足]; [铁路轮渡栈桥旧址] -> [历史感]
[江豚观赏地] -> [适合观江豚]
[长江] -> [水质清澈]; [民国建筑群] -> [历史感]
[色彩斑斓高耸入云的烟囱] -> [色彩斑斓]; [首都电厂旧址] -> [有历史感]
[南京西站] -> [停运]; [南京北站] -> [在建]
[浦口火车站] -> [有历史感]; [长江大桥] -> [雄伟气势]
[浦口火车站] -> [热闹]
[夕Space落日餐厅] -> [装修歇业]; [中山码头] -> [摆渡船停航]
[长江] -> [浑然一体的美感]; [旧绿皮火车] -> [怀旧感]
[民国首都电厂旧址] -> [凄惨]; [玻璃栈桥] -> [惊艳]; [滨江风景线] -> [迷人]
[中山码头] -> [路线清晰]
[日落] -> [好看]
[轮渡] -> [路线清晰]; [网约车] -> [交通方式多样]
[蒸汽火车头] -> [极富年代感]; [准点报时的站台时钟] -> [怀旧氛围]
[浦口火车站] -> [有历史感]
[绿皮火车] -> [有设计感]; [下关火车主题公园] -> [出片]
[浦口火车站夜景] -> [挺内]
[中山码头] -> [视野开阔]
[铁路轮渡栈桥旧址] -> [初以为是人工景观]; [铁路轮渡栈桥旧址] -> [有历史感]
[台风杜苏芮来临前的南京天空] -> [美丽得不像样]; [南京江豚城市公园] -> [观察江豚的最佳位置]
[轮渡航线] -> [通勤效率高]
[玻璃栈道] -> [安全]; [火车主题园] -> [有历史感]
[浦口火车站] -> [具有历史感]; [馄饨店] -> [历史悠久]
[浦口老火车站] -> [见证风雨]; [老建筑修旧如旧] -> [换新颜]
[下关火车主题公园] -> [现在搞得更好]; [日落] -> [好看]
[玻璃栈道] -> [视野非常好]; [江边落日] -> [气氛感满满]
[大桥南堡公园] -> [方便; 设施齐全]; [长江大桥] -> [视野开阔]
[中山码头] -> [完美]; [落日] -> [完美]
[浦口大马路] -> [童年记忆]
[扬子江公园] -> [好舒服]; [天气好的日子] -> [喜欢晒太阳]
[蒸汽机车] -> [有设计感]; [铁路元素] -> [适合拍照打卡]
[下关火车主题公园] -> [青春靓丽车模拍摄场景]
[民国风建筑] -> [有历史感]; [江景] -> [开阔]
[绿皮火车] -> [复古风]; [铁路轮渡栈桥旧址] -> [夕阳拍摄点]
[光影变化] -> [不一样光景]
[浦口火车站] -> [有历史感]
[下关火车主题公园] -> [有设计感]; [绿皮火车] -> [怀旧]
[中山码头] -> [浪漫氛围]; [余晖] -> [视觉美感]
[网红灯塔] -> [好看/出片]; [滨江步道] -> [路线清晰]
[滨江风光带] -> [视野开阔]; [滨江风光带] -> [出片]
[中山码头] -> [天气多变]
[铁路轮渡栈桥旧址] -> [有文化底蕴]
[下关滨江] -> [视野开阔]; [江豚] -> [生态美]
[滨江步道] -> [适合散步]; [落日] -> [大片感]
[中山码头] -> [有吸引力]; [长江] -> [令人向往]
[玻璃栈道] -> [拍南京长江大桥的胜地]; [民国建筑] -> [有历史感]
[浦口火车站] -> [别有一番韵味]; [中山码头] -> [建筑好看]; [民国首都电厂旧址公园] -> [工业感十足]; [铁路轮渡栈桥旧址] -> [颓废感十足]
[火车头主题园] -> [适合拍照]; [晚霞日落] -> [轻松一拍都是大片]
[下关火车主题公园] -> [历史感]; [绿皮车和动车组展示] -> [国家发展变迁]
[蛇年花灯] -> [有设计感]
[玻璃栈道] -> [拍南京长江大桥的胜地]; [民国风格建筑] -> [出片]
[秦淮河边] -> [惬意]; [中山码头日落] -> [浪漫]
[南京长江大桥] -> [长江大桥太有名了]; [南京长江大桥] -> [辉煌的成就]
[浦口火车站] -> [与名人关联]
[中山码头] -> [适合观赏落日]; [江边落日] -> [出片]
[下关火车主题公园] -> [怀旧]
[浦口码头] -> [有历史感]; [中山码头] -> [有历史感]
[铁路发展印迹墙] -> [有教育意义]; [铁路轮渡栈桥] -> [有年代变迁的轨迹]
[运煤码头; 塔吊; 传送带] -> [设施保存完整]; [雕塑] -> [生动形象]; [大平台] -> [可远观江景]
[铁路轮渡栈桥旧址] -> [历史感; 文化底蕴]
[下关火车主题公园] -> [复古风格]; [火车和铁轨] -> [色彩丰富]
[210路公交线路] -> [有效衔接多个站点]; [7号线] -> [历史性意义]
[梧桐] -> [好美]; [古城墙] -> [有历史感]
[阴天] -> [宁静氛围]
[南京长江大桥] -> [视野开阔]; [中山码头至浦口火车站路线] -> [路线清晰]
[下关火车主题公园] -> [怀旧]
[南京北岸铁路轮渡栈桥码头旧址] -> [老地方]
[日落] -> [出片/好看]
[下关江边火车站主题公园] -> [适合滑板运动和拍照]; [夕阳] -> [好看/出片]
[南京长江大桥] -> [车水马龙声]; [江豚观测点] -> [戏水声]; [中山码头] -> [汽笛声]
[长江] -> [像水族箱]
[江边日落] -> [炫丽温情]; [滨江风光带] -> [方向感强]
[民国首都电厂旧址] -> [有历史感; 有故事; 有文化底蕴]; [民国首都电厂旧址公园] -> [有历史感; 有故事; 有文化底蕴]]
[中山码头] -> [适合拍照打卡]; [日落] -> [好看/出片]
[下关火车主题公园] -> [文艺氛围浓厚]; [长江大桥] -> [视野开阔]
[下关火车主题公园] -> [有历史感]; [铁路轮渡旧址] -> [有故事]
[工业遗产] -> [有历史感]; [改造项目] -> [功能转型]
[浦口火车站] -> [有历史感]; [老式站台] -> [文艺]
[长江大桥] -> [非常壮观]; [红旗] -> [有象征意义]
[中山码头] -> [美; 像画一样]
[揽江台] -> [视野开阔]; [滨江步道] -> [路线清晰]
[下关火车主题公园] -> [公园面积大但设施不足]; [砂之船奥莱] -> [性价比低]
[浦口火车站] -> [承载《背影》文学记忆]
[下关火车主题公园] -> [有历史感]; [绿皮火车] -> [有设计感]
[江豚观赏平台] -> [视角延伸]; [长江微笑驿站] -> [科普功能强]
[夕阳] -> [很舒服]; [铁路轮渡栈桥] -> [方便观看]
[江风] -> [骑行顺畅]; [自行车道] -> [路线清晰]
[浦口火车站] -> [有历史感]; [南京北站] -> [有文化底蕴]
[下关火车主题公园] -> [有历史感]; [长江大桥] -> [视野开阔]
[浦口火车站] -> [历史感]; [长江大桥玻璃栈道] -> [网红景观]
[咖啡店] -> [有意境]; [咖啡店] -> [有特色]
[多彩绣球花] -> [好看]
[位于中山码头隔壁的老建筑] -> [难以找到]; [江边位置] -> [拥有一个大露台]
[绿皮火车] -> [有历史感]; [工业风建筑] -> [有设计感]
[中山码头] -> [需排队]; [浦口火车站街区] -> [有历史感]
[民国海军医院旧址] -> [历史感]
[浦口火车站] -> [有历史感]; [轮渡] -> [能看到落日]; [长江大桥] -> [最具标志性]
[南京西站滨江公园] -> [让人眼前一亮]; [火车主题公园] -> [信步东西]
[滨江步道] -> [路线清晰]; [玻璃栈道] -> [视觉震撼]
[长江大桥] -> [具有历史感]; [火车公园] -> [有特色]; [铁路轮渡旧址] -> [教育意义]
[步行路径] -> [路线清晰但步行强度高]
[绿皮火车] -> [人性化设计]; [铁路文化展示] -> [有教育意义]
[中山码头] -> [像维多利亚港]; [浦口码头日落] -> [像莫奈的调色盘]
[下关火车主题公园] -> [有历史感]
[未完工桥墩] -> [历史联想]
[浦口火车站] -> [有文化底蕴]
[映虹桥] -> [亲水圆环设计]; [玻璃桥] -> [出片]; [绿皮火车] -> [承载美好回忆]
[轮渡] -> [票价便宜]; [民国建筑] -> [有历史感]; [长江大桥] -> [雄伟壮观]
[长江大桥] -> [地标性]; [德基美术馆] -> [有设计感]
[中山码头] -> [老地标]; [南京白局非遗文化] -> [有文化底蕴]
[鱼嘴湿地公园] -> [风景好]
[下关火车主题公园] -> [历史感]
[下关火车主题公园] -> [有历史感]; [江水涌动] -> [静谧和生机并存]
[豪华游轮中山18号] -> [舒适体验]; [滨江美景] -> [迷人]; [历史遗迹] -> [有教育意义]
[浦口火车站] -> [有回忆]
[南京西站] -> [承载历史意义]; [下关火车主题公园] -> [现代旅游功能]
[米黄色火车站主楼] -> [好看]; [民国首都电厂旧址] -> [工业感十足]; [铁路轮渡栈桥旧址] -> [颓废感十足]
[南京长江大桥] -> [车水马龙声]; [江豚观测点] -> [江豚戏水声]; [中山码头] -> [轮渡汽笛声]; [浦口火车站街区] -> [游客嬉笑声]
null
[长江畔] -> [文化意境]; [梧桐叶] -> [文化典故]
[中山码头] -> [开阔江景]; [江豚观赏地] -> [生态意义]
[下关火车主题公园] -> [免费拍照圣地]; [傍晚景色] -> [更棒]
[夜景] -> [漂亮]
[南京长江大桥] -> [南京的骄傲和自豪]; [电梯] -> [通行功能存在争议]
[红云桥] -> [最佳夕阳观赏地]; [望江亭] -> [宁静]; [长江大桥] -> [最佳观赏地]
[中山码头] -> [明清建筑风格]; [江豚观赏地] -> [最佳之处]; [长江大桥玻璃桥] -> [异样风采]
[浦口火车站] -> [有文化底蕴]; [灯塔] -> [象征爱与亲情]
[蓝色天然气公交车] -> [有怀旧感]
[铁路轮渡栈桥旧址] -> [小众文艺工业风]; [工业风建筑] -> [有设计感]
[轮渡] -> [方便可达]; [长江落日] -> [有观赏价值]
[古堡] -> [环境优雅]; [长江渡轮旅程] -> [江景优美]
[浦口火车站] -> [别有一番韵味]; [民国首都电厂旧址公园] -> [工业感十足]; [铁路轮渡栈桥旧址] -> [颓废感十足]
[下关火车主题公园] -> [人特别多]; [铁路栈桥] -> [维护不开]
[长江轮渡] -> [路线清晰]
[下关火车主题公园] -> [有历史感]; [铁路轮渡旧址] -> [有故事]
[绿皮火车] -> [有历史感]; [下关火车主题公园] -> [文艺]
[长江大桥] -> [开阔江景]; [德基二期8楼美术馆] -> [有设计感]
[轮渡] -> [有历史感]; [滨江步行路线] -> [路线清晰]
[下关火车主题公园] -> [感受老式火车站]; [浦口火车站历史风貌区] -> [怀旧味道]
[浦口火车站] -> [有历史感]; [落日余晖映照江面] -> [美好]
[长江大桥] -> [有历史感]; [下关火车主题公园] -> [有趣]
[长江大桥] -> [有气势]; [南堡公园滨江段] -> [很不错]
[下关火车主题公园] -> [好拍]
[下关火车主题公园] -> [有历史感]
[铁路轮渡栈桥旧址] -> [有历史感]; [铁路轮渡栈桥旧址] -> [有故事]
[浦口北站] -> [古朴幽静]; [新建景区] -> [千篇一律]
[绿皮小火车] -> [历史感]
[民国首都电厂旧址] -> [有历史感]; [玻璃栈桥] -> [迷人]
[陈列的火车车厢] -> [有历史感]; [铁路轮渡旧址] -> [有故事]
[浦口火车站] -> [承载《背影》文学记忆]; [南京北站] -> [中国铁路发展历史见证地]
[江面] -> [波光粼粼]; [江豚] -> [幸运感]
[浦口火车站] -> [压抑氛围]; [笨拙翻过栅栏] -> [落寞背影]
[玻璃栈道] -> [视野开阔]; [长江大桥] -> [有设计感]
[浦口火车站] -> [有历史感; 有故事; 有文化底蕴]
[下关火车主题公园] -> [取景真不错]
[渡江游轮] -> [便宜实用]; [博物馆] -> [震撼]
[复古建筑] -> [独特魅力]; [锈迹斑斑铁轨] -> [随手一拍都是大片]
[江堤] -> [开阔/有历史感]
[下关火车主题公园] -> [有设计感]; [江边日落] -> [浪漫]
[下关火车主题公园] -> [适合拍照]; [火车与江景] -> [碰撞不一样的火花]
[下关火车主题公园] -> [青春靓丽车模]
[浦口火车站] -> [有历史感]; [落日余晖映照江面] -> [美好]
[网红灯塔] -> [好看/出片]; [落日] -> [浪漫]
[家门口] -> [休闲放松]
[轮渡] -> [便宜实用]; [浦口火车站] -> [有历史感]
[弘阳广场] -> [独具魅力]; [皮影戏] -> [非遗独特韵味]
[蓝天白云碧水] -> [惊艳]; [多个景点集中分布] -> [路线清晰]
[南京西站] -> [有文化底蕴]; [南京西站] -> [有故事]
[轮渡] -> [有意思]; [江边落日] -> [很美]
[码头] -> [浪漫宁静氛围]; [落日余晖] -> [格外美丽]
[下关火车主题公园] -> [有设计感; 有氛围感]
[南京长江大桥] -> [可以看]; [轮渡] -> [二次过长江]
[铁路轮渡桥] -> [市级文物保护单位]; [首都电厂旧址] -> [区级文物保护单位]
[城门] -> [必经之路]
[五角星雕塑群] -> [壮观]; [蒸汽火车头] -> [极富年代感]
[六条线路] -> [多样化]; [民国建筑] -> [有影响力]
[锈迹斑斑的钢轨] -> [具有历史感]; [沧桑感的站房] -> [工业风格鲜明]
[长江水位超过预警] -> [可能影响公园功能可用性]
[滨江大道] -> [适合骑行]; [金陵特色] -> [有氛围]
[中山码头] -> [南京大屠杀遗址]; [纪念碑] -> [历史场景描述]
[老浦口火车站] -> [有历史感]
[长江大桥] -> [地标性]; [开阔江景] -> [出片]
[中山码头渡轮] -> [价格便宜]
[浦口火车站] -> [别有一番韵味]; [民国首都电厂旧址公园] -> [工业感十足]; [铁路轮渡栈桥旧址] -> [颓废感十足]
[老浦口大马路市集] -> [有年味]; [街头巷尾] -> [热闹]
[蓝色天然气公交车] -> [有特色/有辨识度]
[滨江骑行道] -> [路线清晰]; [下关火车主题公园] -> [有历史感]
[锈迹斑斑的钢轨] -> [独具风韵]; [原貌保存的铁路元素] -> [有人文风情]
[候鸟] -> [萌态十足]; [暖阳高照] -> [温暖]
[橘子海] -> [出片]; [工业风建筑] -> [好看]
[浦口火车站] -> [有历史感]; [老式站台] -> [怀旧]
[下关火车主题公园] -> [浪漫氛围]; [江面与落日] -> [非常好看]
[长江大桥] -> [雄伟]; [三面红旗桥墩] -> [造型古朴]
[浦口火车站] -> [有历史感]; [民国风格建筑] -> [出片]
[下关火车主题公园] -> [设置项目接待中心]
[南京下关火车主题公园] -> [有历史感]; [火车站] -> [有象征意义]
[浦口火车站] -> [有历史感]
[民国首都电厂旧址公园] -> [有历史感]; [铁路轮渡栈桥旧址] -> [有故事]
[锈迹斑斑的钢轨] -> [独具风韵]; [历经沧桑的站房] -> [承载历史记忆]
[落日、晚霞、橘色黄昏、夜色阑珊] -> [浪漫; 治愈]
[下关火车主题公园] -> [建设中]
[浦口火车站] -> [怀旧风]; [长江轮渡] -> [原始模样]
[历史建筑群] -> [有历史感]; [长江] -> [出片]
[浦口火车站] -> [中国最文艺的火车站]; [复古文艺范的路牌店招陈设] -> [历史与现代完美融合]
[绿皮火车] -> [特别好出片]; [火车车厢] -> [适合很多风格]
[挡板遮住道路] -> [路线不清晰]; [浦口站灯火] -> [视觉美感]
[下关火车主题公园] -> [有历史感]
[下关滨江风光带] -> [满满的历史气息]; [滨江步道] -> [适合走走停停]
[下关火车主题公园] -> [有设计感]
[梧桐大道] -> [风景美]; [枫叶小路] -> [宁静氛围]
[郑和宝船模型] -> [栩栩如生]; [全景沙盘] -> [尽收眼底]
[南京下关火车主题公园] -> [适合摄影创作]; [滨江风光带] -> [开阔江景]
[浦口火车站] -> [有历史感]; [定淮门隧道] -> [路线不清晰]
[夕阳西下景色] -> [景色美]
[下关火车主题公园] -> [普通]; [列车包厢] -> [不实用]
[梧桐树] -> [很美]; [南京西站] -> [很怀旧]
[塔吊、传输机] -> [有故事]
[下关火车主题公园偏门景点] -> [也不错]
[夕阳] -> [很舒服]; [长江轮渡] -> [安静宜人]
[老建筑] -> [有年代感]; [试驾路线] -> [路线清晰]
[地下水渗出] -> [影响运行安全]; [公交接驳线路] -> [路线清晰但需注意区分]
[中山码头-浦口码头] -> [文学意义联想]
[浦口火车站] -> [文艺]
[3km滨江路线] -> [浪漫]; [S型弯道] -> [生活感照片]
[玻璃栈道] -> [拍南京长江大桥的胜地]; [民国风格建筑] -> [有故事]
[绿皮火车] -> [别有一番风味]; [栈桥] -> [跨越历史的长河]
[浦口码头] -> [滨江风光带的节点之地]; [红房子建筑群] -> [修葺如新]
[下关火车主题公园] -> [有历史感]; [长江大桥玻璃栈道] -> [开阔江景]; [风] -> [超级凉爽]
[长江] -> [服务范围扩展]
[南京下关火车主题公园] -> [适合摄影]
[江豚] -> [值得关注]
[口袋公园平面布局] -> [绿地空间一体化]; [文化展示风雨廊] -> [提供市民休憩功能]
[玻璃栈道] -> [可步行体验]; [历史遗迹群] -> [历史联想]
[民国风格站台] -> [很有感觉]; [绿皮火车和轨道] -> [适合拍照]
[落日余晖] -> [浪漫]; [绿皮火车] -> [出片]
[渡轮] -> [适合家庭出游]; [浦口火车站] -> [有历史感]
[浦口火车站近代建筑] -> [有历史感/怀旧]; [老式站台] -> [有年代感]
[下关主题公园] -> [绝美拍摄地]; [火车与夕阳] -> [很出片]
[南京长江大桥] -> [纪念性]; [斑驳陈旧的公园] -> [历史感]
[铁路轮渡栈桥] -> [有历史感]; [民国建筑群] -> [有故事]
[下关电厂旧址口袋公园] -> [满足市民游憩健身需求]; [下关电厂旧址口袋公园] -> [亮丽风景线]
[南京铁路轮渡栈桥旧址] -> [中国最早的火车轮渡]; [活动引桥设计] -> [技术先进]
[轮渡在落日余晖中] -> [美妙太绝]
[浦口火车站] -> [一直想来的]
[朱自清笔下的火车站] -> [有历史感]; [包公园] -> [闹中取静]
[白云石矿废弃矿坑] -> [创新生态修复理念]; [南区主馆与北区辅馆通过巷道连接] -> [观展动线连贯]
[历史遗迹] -> [有文化底蕴]
[蒸汽火车头; 绿皮火车车厢] -> [有历史感]; [花草树木] -> [十分美丽]
[下关火车主题公园] -> [蛮有特色]; [火车下午茶和餐厅] -> [复古氛围拿捏得很好]
[下关火车主题公园] -> [有历史感]; [长江大桥] -> [地标性]; [玻璃栈桥] -> [出片]
[蒸汽火车头; 绿皮火车车厢; 民国特色老式火车站候车厅] -> [有历史感; 怀旧]
[铁路轮渡栈桥旧址] -> [适合观景]; [夕阳] -> [美丽]
[火车; 月台] -> [文艺]; [铁路轮渡栈桥旧址] -> [很好出片]
[欧式建筑] -> [宁静平和]; [街头博物馆] -> [展示街区特色]
[阅江楼; 中山码头; 天妃宫; 民国首都电厂旧址; 长江江豚主题邮局; 下关火车主题公园] -> [具有文化意义]
[浦口火车站] -> [朱自清文学作品关联]
[红云桥] -> [最佳落日观赏地]; [望江亭] -> [没有过度开发且宁静]
[铁路轮渡栈桥] -> [有年代变迁的轨迹]
[铁路轮渡] -> [有历史感]
[浦口火车站近代建筑风貌区] -> [算有点看头]; [小吃推车] -> [丰富]
[朱自清雕像] -> [有创意的互动场景]
[浦口火车站] -> [怀旧感]; [街道改造] -> [难以想象]
[蒸汽火车头; 绿皮火车车厢; 轨道; 信号灯; 老式火车站候车厅; 站台] -> [具有民国特色]; [津浦书院; 詹天佑雕像; 展板] -> [有文化底蕴]
[民国海军医院旧址] -> [有历史感]
[铁路轮渡栈桥] -> [中国最早的火车轮渡]; [下关火车主题公园] -> [有历史感]
[中山码头] -> [起点]; [民国首都电厂旧址公园] -> [历史遗迹]; [江豚观赏地] -> [自然观察]; [铁路轮渡栈桥旧址] -> [工业遗产]; [下关火车公园] -> [火车主题]; [长江大桥玻璃栈道] -> [观景点]
[落日] -> [浪漫]
[南京] -> [景色很美]
[中山码头轮渡] -> [准点性受关注]
[南京下关火车主题公园] -> [历史感]
[渡轮] -> [适合家庭出行]
[秦淮河步行道] -> [怡人]; [微巴士] -> [怪可爱]
[南京] -> [像古董铺子]
[老下关] -> [人文底蕴浓厚]; [大马路改造计划] -> [期待民国街区]
[下关火车主题公园] -> [压抑氛围]; [湿寒天气] -> [寒冷不适]
[复古建筑] -> [独特魅力]; [老站台] -> [诉说历史]
[首都电厂旧址] -> [有历史感]
[浦口火车站旧址] -> [有故事]
[浦口老火车站] -> [历史感]
[下关火车主题公园] -> [有历史感]
[中山码头] -> [有历史意义]
[浮光跃金] -> [出片]; [滨江步道] -> [沿江边一直走]
[南京下关火车主题园] -> [小众打卡地]
[下关火车主题公园] -> [有历史感]; [绿皮火车] -> [有设计感]
[江滩裸露] -> [视觉呈现]
[长江大桥] -> [恢宏、壮观]; [晴天下的大桥] -> [恢宏]; [阴天下的大桥] -> [壮观]
[下关火车主题公园] -> [新晋网红打卡点]; [江边日落] -> [浪漫]
[民国海军医院旧址; 南京招商局旧址] -> [不对外开放]
[铁路轮渡栈桥] -> [亚洲第一条铁路轮渡]; [铁铸件上的英国钢铁标识] -> [清晰可见]
[南京浦口火车站] -> [改造成参观游览的街区]; [近代建筑风貌] -> [挺好的]
[绿皮火车] -> [有历史感]; [南京西站] -> [有故事]
[下关火车主题公园] -> [有历史感]
[蒸汽火车头、绿皮火车] -> [一秒穿越回80年代]; [长江江景] -> [很美]
[无动力乐园] -> [未开放造成不便]
[下关火车主题公园] -> [很适合吹江风]; [火车餐厅] -> [用餐体验]
[雨过天晴的江景] -> [值得你来]; [滨江风光带] -> [空间感知清晰]
[开灯的南京长江大桥] -> [好美]; [玻璃栈道] -> [好美]
[蒸汽火车头] -> [适合拍照打卡]; [铁路轮渡栈桥旧址] -> [有历史感]
[下关火车主题公园] -> [有历史感]
[下关火车主题公园] -> [适合拍照]; [江边开阔视野] -> [方向感强]
[浦口火车站近代建筑风貌区] -> [有文化底蕴]
[下关火车主题公园] -> [有设计感]; [绿皮火车] -> [有历史感]
[晚风] -> [有了秋的味道]
[轨道交错纵横] -> [有设计感]; [栈桥驳载情长] -> [有氛围感]
[下关火车主题公园] -> [有历史感]; [春天气息] -> [宁静]
[浦口火车站] -> [有历史感]
[民国首都电厂旧址] -> [展现历史脉络]; [工业设备遗存] -> [有历史感]
[长江传奇游轮] -> [视野开阔]; [江豚观赏地] -> [有趣]; [阅江楼] -> [视野好]
[铁路轮渡栈桥旧址] -> [有历史感]
