行为活动_Behavior_Activities,行为活动_Behavior_Approach_Avoidance_Intent,行为活动_Behavior_Plan_Change,行为活动_Behavior_Activity_Evaluation
乘坐公交,下次还想坐公交感受,否,对首次乘公交的积极评价
参观游览; 拍照; 参加解谜游戏; 观看展览; 亲子活动; 休息停留,推荐; 想常来,否,拍照体验满意; 解谜游戏有趣
散步; 拍照; 参观博物馆; 用餐; 乘坐公交; 骑行共享单车; 坐船摆渡,推荐,否,路线安静、有历史感、适合拍照
,,,
拍照; 观景; 散步; 游览,推荐,否,适合长时间游览和拍照
散步; 乘坐轮渡; 观景; 拍照打卡; 参观历史建筑; 游览生态公园,推荐; 下次还来,否,体验轻松愉快，适合周末休闲
打卡; 散步; 观景; 拍照; 乘坐轮渡,推荐; 下次还来,否,见证夕阳下的南京都市很震撼、很满足
散步; 拍照; 打卡,下次还来（隐含）,否,拍照体验良好; 恐高感可克服
摄影; 散步; 等待; 乘坐公交,下次还会考虑来（因景色美）,否,虽然灯光未开但景色依然很美
观景,无法判断,无法判断,无法判断
乘坐公交; 步行; 骑行; 乘坐轮渡; 拍照; 夜跑; 聊天; 游览,推荐为南京旅游好去处,否,整个行程非常惬意
参观学习; 听讲解; 传播文化,无明确倾向,否,通过讲解了解党的历史
参观; 通行; 学习了解,推荐参观,无法判断,无法判断
观景,隐含兴趣（房产推广）,否,
,,,
,,否,
乘坐轮渡,可能推荐,否,
参观; 拍照; 学习历史; 观看影视作品回忆; 社交分享,推荐; 下次还来,否,参观体验令人感慨且充满意义
前往码头; 咨询轮渡信息,不会尝试在恶劣天气乘坐轮渡,是（原计划乘轮渡但因天气取消）,未能完成预期活动（乘轮渡过江），但接受了替代方案的存在
散步; 拍照; 观景; 打卡; 看日落; 用餐; 住宿; 微醺,推荐; 下次还来,否,拍照体验很好; 整体行程安排满意
拍照; 阅读; 享用下午茶; 观看剧组拍摄,推荐指数不高（25）,否,拍照体验较好但整体不如预期
拍照; 观景; 散步; 喝咖啡; 阅读; 看日落,推荐; 下次还来,否,拍照很出片; 吹江风很惬意
散步; 拍照; 打卡; 晒太阳; 亲子活动; 乘坐轮渡; 盖章; 参观历史遗址,推荐; 下次还来,否,拍照出片; 亲子体验良好; 散步很舒服
乘坐轮渡; 拍照; 观赏日落; 游览; 聊天; 谈人生; 聊理想,推荐; 下次还来,否,认为轮渡体验很值得，拍照效果满意
观景; 看日落,想再来,否,观看落日是一种美好的体验
品茶; 吃小吃; 聊天; 拍照; 约会; 聚餐,强烈推荐; 下次还来,否,干果配合茶饮特别合适；菜品精致；服务周到
拍照; 观赏日落; 游览; 寻找细节; 触摸历史; 复刻老照片; 乘坐公共交通,推荐; 想常来; 强烈推荐,否,出片效果很好; 体验丰富而有意义
参观; 步行游览,不会特别再来,否,初步实现参观目的但未完全满足期望
拍照; 游览; 参观; 用餐; 散步; 观景; 亲子活动,强烈推荐; 下次还来,否,游览体验非常好; 拍照很出片
骑行; 拍照; 散步; 观景; 看落日; 用餐,推荐; 下次还来,否,骑行很舒服; 拍照出片率高; 观赏落日很震撼
乘坐轮渡; 参观; 拍照; 游览,建议降低期待值/建议避开高峰期,否,适合拍照但内容不够丰富
乘坐公交; 乘坐轮渡; 拍照; 观景,推荐; 下次还来,否,拍摄体验很好，感受到城市之美
参观游览; 乘坐观光车; 拍照打卡; 观看景点; 就餐,推荐给他人,否,景点很美但也很累
观景,,,
发呆; 感受自然,享受当下,否,感受到身心自由
摄影; 观景; 等待最佳拍摄时机,推荐; 下次还来,否,成功记录下南京特色的城市景观同框
观察; 拍照; 思考未来规划,,否,因马路狭窄难以获得理想摄影角度
观景; 参观展览; 观赏江豚; 拍照,推荐; 下次还来,否,即使没有专业设备也能获得良好观赏体验
乘坐轮渡; 欣赏风景,推荐/认可这种出行方式,否,感到激动并产生城市认同感
参观; 游览,推荐参观了解历史,否,
散步; 观景; 拍照,推荐; 下次还来,否,拍照很出片
打卡; 参观; 拍照,推荐; 下次还来,否,打卡很出片
观光游览; 参加游轮婚礼; 商务会展; 长江研学; 观景拍照,推荐; 下次还来; 想常来,否,沉浸式体验良好; 多元业态丰富
参观; 游览,推荐意向,否,
游览; 拍照; 观景; 看火车经过,推荐; 下次还来,否,视觉体验很好，适合拍照和观景
打卡; 拍照; 参观; 阅读/联想,推荐; 下次还来,否,打卡体验满意
散步; 拍照; 观景; 乘坐轮渡; 观赏江豚; 游览历史遗迹; 打卡; 餐饮消费,推荐; 想常来,否,花两元就能体验轮渡; 拍照超出片; 沿途风景治愈人心
,,,
摄影; 城市漫步; 观景; 年度回顾,期待2025年新桥梁开通后再次游览,否,摄影体验良好，灯光效果满意
骑行; 观景; 参观展览馆; 观察江豚; 散步; 逛夜市; 就餐,没有明确表达，但整体体验积极,否,整体体验轻松愉快
拍照; 游览; 参观历史遗迹; 阅读文化背景,推荐; 想常来,否,拍照体验很好
乘坐轮渡; 拍照; 游览,推荐; 想常来,否,拍照体验满意；表示浦口火车站更加出片
观赏江景; 看日落; 发呆; 静坐,推荐; 下次还来,否,感受到内心的平静和宁静
通勤; 出行,无回避意愿（正常替代交通安排）,是（轮渡改乘公交）,公交接驳满足基本出行需求
散步; 拍照; 观景; 打卡,推荐; 下次还来,否,拍照体验非常棒
拍照,推荐; 下次还来,否,拍照很出片
,,,
散步; 闲逛; 发呆; 散心; 聊天; 拍照; 坐轮渡; 观赏江豚; 观景; 海边野餐; 放烟花,南京周末打发无聊时间的好地方,否,一路闲逛下来好chill
,,,
散步; 观景; 拍照; 吹风,下次还来,否,夜晚江边吹风很惬意
,,,
散步; 拍照; 观景; 乘坐轮渡; 参观历史遗迹; 餐饮消费; 打卡,推荐; 强烈建议傍晚前往,否,轮渡上看晚霞体验很好; 玻璃栈桥夜景值得期待
乘坐轮渡; 用餐; 爬山; 观景; 拍照,推荐; 想常来,否,整个行程安排挺完美充实
拍照; 观景; 打卡; 发呆,推荐; 下次还来,否,拍照很出片
乘坐轮渡; 参观游览; 观景; 缅怀历史; 阅读思考,推荐/想再来,否,沉浸式体验历史场景令人感动
参观历史遗迹; 拍照; 阅读历史故事; 怀旧旅行; 周边游览,推荐; 想常来; 推荐他人,否,拍照体验满意; 游览体验丰富
乘坐轮渡; 观景; 拍照; 看日落,推荐; 下次还来,否,拍照很出片
,无法判断,否,
参加主题活动; 写愿望; 制作音景; 嗅觉游戏; 手工创作; 家庭亲子互动; 自然观察,推荐; 想常来,否,活动内容丰富有趣，能有效缓解压力
参观展览; 学习历史; 观赏文物,推荐/想参观,否,了解下关历史与文化的好地方
散步; 拍照; 观景; 欣赏音乐喷泉,推荐; 经常前往,否,拍照出片效果好；景色令人震撼
骑行; 拍照,下次还会来,否,骑行顺畅，拍照效果满意
骑行; 游览,,否,
,,否,
乘坐地铁; 观看夕阳; 拍照; 骑行; 欣赏自然景观,不会因炎热劝退但也不会特别推荐,否,虽然热但认为值得; 认为桥上列车比灯塔夕阳更好看
散步; 观景; 拍照; 看日落; 停车休闲,推荐欣赏日落地点,否,欣赏日落体验良好
乘坐轮渡; 观赏日落; 拍照,推荐; 下次还来,否,对日落观赏体验满意
打卡; 观景,推荐/下次还来,否,值得专门前往打卡
文化展览; 创意办公; 酒店住宿; 购物; 餐饮服务,期待开放,否,
散步; 拍照; 观景; 拍婚纱照; 听音乐; 乘坐轮渡; 购物; 骑行,推荐部分地点; 不建议专门前往某些地点,是（因风大调整停留时间；因限流改变拍摄计划）,拍人像好看; 坐在花坛拍景无遮挡; 在旧址公园拍到轮渡效果好
,,,
,想再来/怀念,否,
拍照; 观景; 散步; 打卡; 看落日,推荐; 下次还来,否,拍照很出片；落日浪漫；整体体验满意
散步; 观景; 遛娃; 听汽笛声,推荐给所有遛娃家庭,是,遛娃体验非常好
拍照; 避雨; 等待天气好转,推荐; 想常来,是（因原计划场地问题改变地点）,虽然遇到困难但最终效果满意
散步; 拍照; 观景; 购物; 就餐; 亲子活动; 遛狗; 登高; 参观艺术园区,推荐; 下次还来,否,觉得值回票价; 适合抄作业的城市漫步路线
拍照; 乘坐轮渡,推荐; 下次还来,否,拍摄体验很好
骑行,劝退：不要再冲动尝试,否,骑行过程非常吃力且令人紧张
拍照; 打卡,无明显回避或接近倾向,否,拍照效果满意（可加宫崎骏滤镜）
观景; 看日落,推荐（隐含）,否,
,,,
拍照; 观景,推荐; 下次还来,否,拍照很出片
拍照; 观景; 散步; 骑行; 等待日落; 游览; 拍摄视频,推荐; 强烈建议前来体验,否,亲身体验才知魅力; 拍摄非常完美
乘坐轮渡; 散步; 打卡; 观景,推荐; 下次还来,否,
乘坐轮船; 亲子活动; 吹江风,推荐; 下次还来,否,孩子喜欢各种交通工具，适合亲子出行
乘坐轮渡; 观景,推荐,否,
游览; 观察; 回忆,不会推荐/不会再来,否,未能满足拍照需求
拍照; 参观,推荐拍照地点,否,拍照体验方便
乘坐轮渡; 散步; 观景; 拍照; 参观遗址; 就餐; 观看落日; 欣赏灯光秀,推荐; 想常来,否,渡江绝对值; 补充能量很合适
散步; 跑步; 骑行,下次还来,否,跑得很舒服
,,,
参观游览; 拍照打卡; 步行游览,推荐; 下次还来,否,游览体验非常震撼且值得
乘坐轮渡; 拍照; 观景,建议等人少的时候去,否,拍照体验很好
就餐; 观景,会再来,否,
骑行; 拍照OOTD; 乘坐轮渡,推荐; 下次还来,否,骑行和摄影体验良好
观景; 拍照; 游览,推荐前往,否,观光体验满意
拍照,推荐/下次还来,否,拍照体验非常满意
,,,
拍照; 观景,推荐,否,拍照很出片
参观纪念馆; 参观博物馆; 游览景点; 乘坐公交; 步行; 用餐; 乘坐游船,推荐行程安排,否,对交通和导览安排满意
观景; 拍照; 打卡; 发呆; 约会,推荐; 下次还来; 想常来,否,拍照很出片; 约会很浪漫
参观展览; 听讲解; 盖章集邮; 拍照; 登高望远; 城市漫步,推荐; 下次还来,否,沉浸式学习体验很好; 拍照出片效果佳
游览; 拍照; 乘坐公共交通; 用餐,,否,斋面好吃
,,,
骑行; 观景; 参加活动(如骑行活动); 拍照(隐含在'与长江共赴的日落之约'),推荐/想参加,否,认为活动有诗意、有文化内涵且具生态价值
citywalk; 拍照; 游览; 登高; 亲子活动; 遛宠; 用餐; 购物,推荐该路线; 表示会继续关注并参与类似活动,否,晴天能见度高时视野开阔; 登山路线无难度; 电梯服务省时省力
乘坐轮渡; 游览; 观景; 回忆; 接送孩子,不会再来/无特别意愿,否,匆匆一游，未能深入感受
观赏落日; 观看火车; 拍照; 听涛声,推荐/下次还来,否,所见皆美景
观景; 缅怀历史; 游览,推荐/值得参观,否,令人感慨万千
乘坐轮渡; 拍照; 打卡; 游览,推荐/下次还来（对景观）但可能避开高峰,否,欣赏景色并认为适合拍照打卡
咨询行程; 计划旅行,不建议前往/避免,是（提醒他人改变计划）,原计划因停航而受阻
骑行; 散步; 观景,推荐; 想常来,否,骑行体验顺畅舒适
乘坐轮渡,,否,
拍照; 观景; 散步; 聊天; 发呆; 约会,下次还想来,否,拍照很开心; 拍到满意作品感到自豪
散步; 观景; 拍照; 听音乐; 购物; 野餐; 遛弯,推荐; 下次还来,否,吹江风很舒服; 听音乐很开心
行走; 回忆; 观察城市风貌,对建城区回避意愿；对保留路段有重访倾向,否,通过行走唤起回忆
乘坐轮渡; 观景; 拍照; 约会,想重访,否,沉浸式的怀旧浪漫体验
散步; 闲逛; 拍照; 观景; 阅读; 喂鸽子; 乘坐轮渡; 夜间游览; 打卡,强烈推荐,否,漫步体验治愈; 拍照出片效果佳
步行; 购买饮料; 观赏晚霞; 观看夜景; 拍照打卡,推荐; 值得打卡,否,值得打卡; 拍照体验好
散步; 拍照; 观景; 打卡,推荐; 下次还来,否,拍照很出片; 散步很放松
,,否,
观景; 打卡; 公益活动参与,推荐; 下次还来,否,观赏江豚是值得推荐的活动
摄影,,否,
拍照; 游览; 观景; 打卡; 野餐; 露营; 观看落日; 乘坐轮渡; 品尝美食; 影视取景地游览,推荐; 下次还来; 想常来,否,拍照很出片; 光影效果很棒
拍照; 观景; 打卡; 散步,推荐; 心满意足; 趁天气好再去,否,不会拍照的人也拍得不错；非常满意
乘坐渡轮; 步行; 购票; 观景; 游览,推荐; 可多次体验,否,渡轮服务实用且价格低廉；观景体验良好但无露天甲板略显遗憾
拍照; 约拍合作; 展示自我,推荐该地点和摄影师,否,拍摄体验非常愉快
散步; 观景; 看日落,推荐,否,享受落日和晚风带来的浪漫体验
乘坐轮渡; 散步; 观景; 拍照（期待）; 阅读历史展板,计划再次来访以观赏落日,否,沿途风景优美，历史文化信息丰富
乘坐轮渡,推荐/可能再来,否,
观景; 约会; 拍照; 阅读; 喝茶,推荐; 下次还来,否,走累了可以在书吧看书、茶社喝茶很惬意
乘坐轮渡; 拍照; 游览; 骑行; 观景; 亲子互动; 学习火车知识,推荐给其他人; 特别适合带小盆友玩,否,轮船火车都是小男孩喜欢的交通工具; 拍出岁月风情的照片
,,,
乘坐轮渡; 游览玄武湖; 拍照; 写生; 改签; 步行; 乘地铁,不会推荐未经详细规划的行程,是（因时间问题改签）,对写生、观赏盆景满意，但导航和交通不便影响整体体验
游览; 乘车观光,推荐体验,否,公共交通体验舒适，观景体验很棒
乘坐轮渡; 拍照,推荐/下次还来,否,拍到了理想的照片效果
观光; 拍照; 散步,推荐; 想常来,否,适合摄影、适合打卡留念
拍照; 摄影创作,推荐（巨复古巨好拍）,否,拍摄体验良好
游览; 观看高铁经过; 视频通话,没有明确表达回避或接近意愿,否,对家庭互动感到开心
,,,
拍照; 观景; 打卡; 发呆,推荐; 下次还来,否,拍照很出片; 发呆很放松
计划调整,避免跑空,无法判断,无法判断
,,,
乘坐轮渡; 散步; 观景; 放松; 怀旧,推荐/下次还来,否,乘坐轮渡体验江面风光很值得
游览; 参观; 学习历史,隐含推荐探索意图,否,
观景; 拍照,无法判断,否,欣赏并想要分享晚霞美景
散步; 游览; 拍照; 观景; 阅读; 看展; 乘坐轮渡; 打卡,推荐; 快乐打卡,否,全程花费低且景点丰富，非常适合拍照和休闲游览
骑行; 拍照; 乘坐渡轮; 品尝美食; 公园游览; 购物,,,
日常通行; 观察城市景观,没有表达回避意图但对现状不满,否,
乘坐渡轮; 参观火车站; 排队等候,推荐体验,否,认为排队效率尚可，但电动车通行不便
拍照; 摄影; 散步; 观察他人,推荐; 想常来,否,摄影体验良好，能体现生活理解和岁月沉淀
拍照; 沉思; 散步,推荐/下次还来,否,
参观,,,
休闲散步; 休憩停留; 儿童活动,推荐/欢迎使用,无法判断,
乘坐轮渡; 观察他人,,否,
拍照; 游览,推荐（隐含）,否,
散步; 观景; 拍照; 游览,推荐/下次还想来,否,感知到南京的春天之美，认为不虚此行
看日落,下次还来,否,喜欢
步行游览,,否,
,,,
游览; 品尝小吃,推荐/下次还来,否,吃烧饼很开心
阅读; 文学联想,,否,
参观游览; 观察记录,隐含推荐（通过发布视频展示）,否,
游览; 观景; 散步; 阅读历史背景,推荐; 下次还来,否,
游轮观光; 观景; 拍照; 亲子活动; 文化体验; 休闲娱乐,推荐; 下次还来,否,文化生态之旅令人满意
上课,因距离问题放弃参加生日会,是（原计划参加生日会但改变）,无法判断
乘坐轮渡,,否,
游览,推荐倾向,否,
游览; 参观,不会推荐/可能不会再来（因当前不开放）,无法判断,
观景; 拍照; 散步,推荐; 想常来,否,感知到温柔的江风，感到放松和愉悦
参观学习; 听讲解; 交流感受,推荐; 下次还来,否,收获太大了
观景,,否,
志愿服务; 拍照; 观景; 发呆,希望再次来访,否,拍照体验良好
观景; 观看野生动物; 拍摄视频,推荐/值得一看,无法判断,观赏体验非常震撼和惊喜
乘坐轮渡; 参观浦口火车站; 学习课文,主动前往参观,否,通过实地参观加深对课文理解
观看江豚; 收看视频,推荐观看视频/感兴趣,否,视频内容令人感动且有趣
观景; 拍照,下次还来,否,拍照很出片
游览; 拍照,不会推荐/不会再来,是（因剧组影响提前离开）,拍照体验受限
拍照,无法判断,无法判断,在下雨刮风天气仍然进行拍摄，可能对活动本身有积极评价
拍照; 观景; 打卡; 散步; 遛狗; 发呆,推荐; 下次还来,否,拍照很出片; 散步很放松
,,否,
拍照,,否,
听声音体验; 拍照; 打卡; 游览,推荐/感兴趣,否,通过声音串联起对长江的印象
,null,null,null
观赏落日; 拍照; 乘坐轮渡; 散步; 游览,推荐; 下次还来,否,拍照体验很好
,无法判断,无法判断,无法判断
散步; 拍照; 观景; 品尝美食; 乘坐轮渡; 参观历史遗迹; 阅读历史故事,推荐; 下次还来,否,轮渡服务便捷且价格实惠；拍照体验良好
参观; 拍照; 游览,不会推荐/不会再来,否,
摄影,没有明确表达回避或接近意愿，但表达了对未来的期待,否,对阴雨天气影响拍摄效果有所遗憾
参观历史遗址; 阅读/学习文学作品,推荐/想来感受文学氛围,否,通过文学作品了解历史场景，具有教育意义
拍照; 游览; 打卡,推荐,否,享受秋天氛围感和历史感
,,否,
,,否,
观光游览; 乘坐邮轮; 参观展览; 拍照打卡; 观景; 欣赏光影秀,推荐,否,行程丰富，体验多元
乘坐轮渡; 拍照; 散步; 观景; 阅读; 看日落; 打卡; 亲子活动; 影视参观; 城市漫步,推荐; 下次还来,否,拍摄体验很好; city walk非常惬意
拍照; 写真拍摄; 创作,推荐; 想常来,否,拍照体验满意，出片效果好
参观游览; 拍照; 观景; 乘坐轮渡,推荐/下次还来,否,对铁路轮渡和民国建筑印象深刻
观景; 拍照,无明确推荐但隐含喜欢,否,摄影体验良好
休憩; 散步; 文化体验,推荐/值得参观,否,
游览; 打卡,推荐/隐含,否,
,,,
拍照; 打卡; 乘坐轮渡; 游览; 合影,推荐/下次还来（通过‘意外解锁’表达正向反馈）,否,拍照体验满意（人生照片）；玻璃栈道虽有点怕但仍完成体验
拍照,不会特别推荐（隐含）,否,未能满足拍摄火车的愿望
散步; 游览; 回忆,推荐; 想常来,否,走一走可以唤起回忆（积极评价）
观景; 听自然声; 乘坐轮渡; 拍照; 打卡; 游览,推荐; 想常来,否,通过声音感知长江的魅力
观景; 发呆; 阅读（提及《背影》）,推荐/想来参观,否,驻足感受历史氛围
观看火车; 享受自然; 日光浴,推荐/愿意再来,否,享受江边放松时光
参观; 拍照; 散步,推荐; 想常来,否,适合参观和拍照
轮渡通勤; 观光; 打卡,推荐; 下次还来（春节期间打卡建议）,否,
参观; 采访; 摄影/摄像; 导览讲解,推荐; 有宣传意图,否,拍摄过程顺利且内容充实
,,,
乘坐轮渡; 观景; 交谈; 思考人生,未明确表达回避或接近意愿,否,有新的开始如你我意，孕育一切可能
,,否,
徒步; 游览; 参观,未明确表达推荐或回避,否,徒步过程虽曾紧张但最终获得感悟
观景; 打卡; 拍照,推荐; 下次还来,否,拍照很出片
,,否,
观景; 观赏自然现象,推荐/值得一看,无法判断,
乘坐轮渡; 散步; 拍照; 观景; 城市漫步; 摄影; 参观历史遗迹; 亲子活动; 看江豚; 阅读; 打卡,推荐; 下次还来,否,拍照出片; 散步放松; 观景惬意
乘坐公交; 观光游览,无明显倾向性（信息类公告）,否,
参观寺庙; 观赏植物; 品尝斋饭; 游览历史遗迹,推荐/想再来,否,享受快乐
观景; 拍照; 打卡,推荐,否,
参加开幕式; 发布调查成果; 举办颁奖仪式; 观看水生生物影像巡展; 启动同步调查; 参与主题沙龙; 组织校园调查; 科普教育,推荐参观展览,否,活动内容丰富、具有科学性与教育性
游览; 参观历史遗迹; 城市漫步,推荐/有吸引力,否,
散步; 观景; 看夕阳; 拍照,推荐; 下次还来,否,很放松; 很治愈
打卡,想常来,否,
游览历史遗迹; 散步; 观景; 乘坐轮渡; 观看二次元文化; 打卡网红地点,心心念念的轮渡体验,否,春季景色令人满意，但婚卡抽奖未能如愿
航运; 贸易; 旅游; 金融; 商业活动; 观察城市发展; 阅读历史文献,无法判断,否,历史时期的商业繁荣与当前的衰落对比
,,,
乘坐轮渡; 参观游览; 骑行; 登楼观景; 徒步城墙,推荐/下次还想来,否,骑行和徒步体验良好
,,,
拍照; 游览,推荐,否,出片效果好，适合摄影
散步; 观景; 游览,推荐游览,否,整体体验良好
,,,
观景; 拍照; 参观游览; 观看鱼类,推荐; 下次还来,否,观赏体验有趣且独特
观景; 拍照; 打卡; 听声音; 社交互动,推荐; 下次还来,否,感受到丰富的声音景观和文化共鸣
拍照; 游览; 就餐,大爱南京（强烈推荐）,否,拍照体验满意；整体感受舒适
休闲散步; 社区活动,推荐/可能前往,否,
,,,
参观; 拍照,推荐; 想常来,否,
游览; 打卡拍照,推荐/下次还来,否,满足追星打卡需求
,,,
骑行; 穿越桥梁; 游览公园; 寻找美食; 购物（购买烤鸭）,推荐骑行探访,否,骑行+寻味之旅很有趣很开心
游览; 观景; 沉思,推荐/下次还来,否,感受到历史氛围的深度体验
散步; 闲逛,,否,
乘坐轮渡; 参观浦口火车站; 观赏夕阳; 喝茶; 看综艺,期待每一个周末,否,喝橙子红茶看综艺感觉很爽
散步; 跑步; 观景; 拍照,下次还来,否,跑得很舒服
,,,
乘坐轮渡; 饮酒; 观看日落; 社交观察,不会特意再来（因轮渡时间限制）,否,喝酒至深夜影响交通安排
打卡; 乘坐轮渡; 游览; 拍照,推荐; 下次还来,否,打卡体验丰富有趣
乘坐轮渡; 拍照; 观赏日落; 饮酒; 聊天; 阅读; 观影,推荐; 下次还来,否,酒后畅聊很尽兴; 阅读观影很放松
参观游览; 乘坐轮渡; 骑行; 观看景点; 拍照打卡; 纪念缅怀,整体推荐倾向,否,行程安排合理; 部分景点未开放影响体验
,,,
散步; 游览; 拍照; 乘坐轮渡; 观景; 购物; 打卡; 看展,下次还来（隐含）,否,完成心愿轮渡体验; 对历史和自然景观感到满意
参观; 游览,推荐/下次还来,否,
拍照; 摄影创作; 游览,推荐/下次还来,是（拍摄计划从工业风转变为暖秋写真）,对最终拍摄效果满意，认为适合摄影创作
拍照; 观景; 散步,推荐/下次还来,否,拍照很出片; 观景很放松
游览,推荐; 想常来,否,体验很好，感到满意
拍照; 约拍; 观景,推荐/下次还来（隐含在约拍标签中）,否,拍摄效果满意（通过“出片”可推断）
,,否,
外出散步; 拍摄照片; 团队聚会,推荐/下次还来,否,晒太阳很舒服，团队互动很开心
乘坐动车; 远眺观景; 参观遗址,推荐小众旅行路线,否,
购物; 探望朋友; 乘坐公交; 步行游览; 参观景点; 用餐,未明确表达回避意愿，但部分计划未完成,是（因路线问题改变原定看大桥计划；因配偶意见放弃阅江楼游览）,对玻璃栈道和火车主题公园感兴趣；对未能登上大桥感到遗憾
参观历史遗迹; 观察现状,,否,
参观; 学习/阅读,推荐/想来,否,
观看马拉松; 散步,无特别意愿表达,否,
参观; 观察,可能不会推荐/不会再来,无法判断,参观后感到失望
游览; 参观; 拍照,推荐/想来,否,
拍照; 游览; 打卡,推荐/值得来,否,拍照体验很好，充满复古韵味
参观,,否,
,,否,
,,,
乘坐游轮; 观景; 拍照; 学习环保知识; 了解长江文化,推荐/愿意再次体验,否,游轮观光体验丰富且具有教育意义
观赏落日,推荐/吸引他人前来,否,
,,,
拍照; 观察细节; 讨论鉴定,无明显倾向性,否,对火车细节观察和类型鉴定感兴趣
,,,
散步; 观景; 拍照; 休闲游览,推荐/想再来,否,心情愉悦舒畅
参观; 了解历史,推荐/下次还来,否,学习铁路历史的好地方
游览; 拍照; 观景; 文化交流,推荐; 下次还来,否,有新的思考和领悟
乘坐轮渡; 观赏大桥; 回忆往事,无明确回避或接近意愿,否,唤起了美好的儿时回忆
乘坐轮渡; 游览; 拍照; 观景; 阅读历史背景,推荐/下次还来,是（原计划瞻园因人群问题放弃）,漫步体验舒适，沉浸于历史氛围中
观景,隐含推荐（暗示值得来体验）,否,对景观体验感到满意
拍照; 游览; 步行; 打卡,推荐; 想再来,否,拍照体验满意
参观; 拍照; 观看展示,推荐,否,体验满意
,,,
计划出行,想常来,是（因时间冲突未能出行）,
乘坐轮渡; 散步; 拍照; 观景; 游览历史建筑; 观看火车通过道口; 观看钓鱼,推荐/下次还来,否,仅旁观也很开心
,,否,
,,,
游览; 参观,积极体验,否,
聚餐; 乘坐轮渡; 拍照; 游览历史景点; 散步; 聊天; 购物; 吃冰淇淋,推荐; 下次还来,否,吃得满足; 轮渡体验好; 吃喝聊天很开心
文化联想; 文学回忆,,,
乘坐交通工具; 游览; 参观历史遗址; 阅读文学作品联想,下次可能再来以体验轮渡,是（因大雾改乘公交巴士）,对历史遗址的文化价值有深刻体会
游览; 参观; 行走,推荐路线,否,
骑行; 打卡; 庆祝生日,推荐骑行打卡路线,否,骑行是一次值得的体验
骑行; 观景; 拍照; 游览; 听声音,推荐/会再来,否,沉浸式体验历史氛围令人满意
乘坐汽渡; 观景; 家庭出行,推荐/下次还来,否,体验非常好
比较; 观察,,否,
乘坐游轮; 观景; 拍照; 生态观察; 文化游览; 教育学习,推荐; 提高长江大保护意识,否,一路美景不断; 能够提高人们对长江大保护的认识
乘坐公交; 游览,推荐使用假日旅游专线,否,
听民谣; 听摇滚; 散步; 观景; 拍照; 品尝美食; 打鼓; 看樱花; 看落日; 旅行,强烈重访意愿,可能因思念提前计划行程,对民谣、摇滚、打鼓、美食等体验感到满意
散步; 游览; 观看视频回忆,想再次体验,否,通过citywalk回顾过去经历
,,否,
散步; 观景; 拍照,推荐; 下次还来,否,拍照很出片
游览; 打卡; 观景,推荐/想去,否,
观看日落,怀念; 想念,否,感到幸福
参观地铁站; 游览历史景点; 下班路过; 乘坐轮渡; 自驾出行,没事也不想特意去看一次,否,对清凉门站的科技感表示认可
散步; 游览; 乘坐轮渡; 参观历史遗迹,推荐; 下次还来,否,好神奇
乘坐轮渡; 骑行; 闲逛; 参观历史建筑,推荐/下次还来,否,骑行和参观体验令人满意
散步; 游览; 观景,未明确表达,否,行走过程顺畅且有意义
游览; 观察交通结构,推荐/感兴趣,否,
散步; 游览,推荐/下次还来（隐含）,否,逛得很轻松
散步; 观景,下次还来,否,吹江风很舒服
品尝美食; 乘坐轮渡; 参观历史遗迹; 拍照; 观景; 散步; 阅读文学联想,推荐为小众景点; 想常来,否,拍照非常适合; 散步非常舒服; 吃馄饨令人留恋
参观; 拍照; 学习考察,推荐; 下次还来,否,
拍照,,否,
,,否,
拍照; 观景; 看日落,推荐; 下次还来,否,拍照很出片
参观博物馆; 参观生产线; 购物; 品尝饮料,推荐; 下次还来,否,性价比高; 有专人讲解; 饮料畅饮体验好
,,否,
行程规划; 游览,,否,
,,否,
拍照; 观景; 社交互动; 散步; 看日落; 休闲漫步,推荐; 下次还来,否,拍照很出片; 锤子妹妹情绪到位
拍照; 观景; 打卡,想再次前往,否,拍照体验很好，激发了模仿发型的兴趣
,,,
散步; 骑行; 拍照; 观景; 乘坐轮渡; 游览; 家庭活动; 赏月,推荐；适合中秋团圆,否,沿途风景动人美好；微风拂面畅快；适合拍照出片
乘坐公交; 乘坐渡轮,未明确表示推荐或回避,是（因公交减员可能改变出行计划）,公交换乘优惠且经济实惠但存在不确定性
跑步; 参观,想深入了解/再次探访,否,跑步途中发现值得研究的历史信息
,,否,
拍照,推荐; 下次还来,否,喜欢拍照体验
游览; 观察; 思考,对现状表示担忧但对城市发展保持开放态度,否,引发关于城市意象变迁的思考
回顾过往; 拍照留念,没有明确表达回避或接近意愿，但通过'前年今日'的表述显示出对过去经历的怀念,否,
拍照,,否,对合影拍照感到满意
看日落,无法判断,否,
散步; 观景; 拍照,推荐; 下次还来,否,散步很舒服；景色出片
观景; 打卡; 看视频,推荐/感兴趣,否,
观景; 打卡,推荐,否,感觉挺不错
观景; 看日落,推荐/强烈推荐,否,值得一生铭记的浪漫体验
办事; 吃饭; 散步; 游览,对铁路遗址感兴趣但对长江公园无兴趣,是（因工作原因推迟游览计划）,办事效率高，游览体验部分有趣
打卡; 品尝小吃; 游览,推荐; 想常来,否,
